proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,trade_history_link,auto_trade_id
3558,3703,usr482@gt.edu,usr503@gt.edu,2022-04-15,2022-04-19,rejected,placeholder.com,1909
3561,6279,usr483@gt.edu,usr843@gt.edu,2022-05-30,2022-06-09,accepted,placeholder.com,1910
3563,3017,usr483@gt.edu,usr403@gt.edu,2022-04-26,2022-05-25,rejected,placeholder.com,1911
3564,6260,usr483@gt.edu,usr841@gt.edu,2022-05-20,2022-05-31,accepted,placeholder.com,1912
3567,1965,usr484@gt.edu,usr263@gt.edu,2022-04-19,,unacccepted,placeholder.com,1913
3569,4104,usr484@gt.edu,usr554@gt.edu,2022-04-15,2022-05-10,accepted,placeholder.com,1914
3570,760,usr484@gt.edu,usr099@gt.edu,2022-04-25,2022-04-26,accepted,placeholder.com,1915
3571,627,usr485@gt.edu,usr085@gt.edu,2022-04-15,2022-04-27,rejected,placeholder.com,1916
3571,1010,usr485@gt.edu,usr137@gt.edu,2022-04-27,2022-05-24,rejected,placeholder.com,1917
3573,1892,usr485@gt.edu,usr253@gt.edu,2022-04-18,2022-04-28,accepted,placeholder.com,1918
3574,6257,usr485@gt.edu,usr841@gt.edu,2022-04-26,2022-05-09,rejected,placeholder.com,1919
3577,3719,usr486@gt.edu,usr504@gt.edu,2022-04-19,2022-05-04,accepted,placeholder.com,1920
3578,1279,usr486@gt.edu,usr173@gt.edu,2022-04-26,2022-06-07,accepted,placeholder.com,1921
3582,1838,usr486@gt.edu,usr245@gt.edu,2022-05-16,2022-06-08,accepted,placeholder.com,1922
3583,3115,usr487@gt.edu,usr415@gt.edu,2022-04-29,2022-05-04,accepted,placeholder.com,1923
3584,1084,usr487@gt.edu,usr146@gt.edu,2022-04-19,2022-06-13,accepted,placeholder.com,1924
3585,6915,usr487@gt.edu,usr933@gt.edu,2022-05-10,2022-05-17,rejected,placeholder.com,1925
3586,749,usr487@gt.edu,usr098@gt.edu,2022-04-28,2022-05-06,rejected,placeholder.com,1926
3586,5245,usr487@gt.edu,usr709@gt.edu,2022-05-23,2022-06-08,rejected,placeholder.com,1927
3587,4097,usr488@gt.edu,usr553@gt.edu,2022-04-22,2022-05-27,rejected,placeholder.com,1928
3589,7159,usr488@gt.edu,usr964@gt.edu,2022-05-09,2022-05-13,accepted,placeholder.com,1929
3590,5033,usr488@gt.edu,usr679@gt.edu,2022-04-15,2022-05-30,rejected,placeholder.com,1930
3592,6084,usr488@gt.edu,usr818@gt.edu,2022-04-19,2022-04-21,rejected,placeholder.com,1931
3592,7309,usr488@gt.edu,usr985@gt.edu,2022-05-24,,unacccepted,placeholder.com,1932
3600,4292,usr489@gt.edu,usr579@gt.edu,2022-06-06,,unacccepted,placeholder.com,1933
3600,6423,usr489@gt.edu,usr866@gt.edu,2022-04-15,2022-05-16,rejected,placeholder.com,1934
3601,5923,usr489@gt.edu,usr796@gt.edu,2022-06-14,,unacccepted,placeholder.com,1935
3604,6932,usr490@gt.edu,usr935@gt.edu,2022-06-01,,unacccepted,placeholder.com,1936
3606,3774,usr490@gt.edu,usr512@gt.edu,2022-05-17,,unacccepted,placeholder.com,1937
3608,5322,usr490@gt.edu,usr719@gt.edu,2022-04-15,2022-05-06,accepted,placeholder.com,1938
3610,1559,usr490@gt.edu,usr207@gt.edu,2022-04-21,2022-05-19,accepted,placeholder.com,1939
3611,5476,usr491@gt.edu,usr738@gt.edu,2022-04-26,2022-05-09,accepted,placeholder.com,1940
3612,1618,usr491@gt.edu,usr215@gt.edu,2022-04-18,2022-05-13,accepted,placeholder.com,1941
3613,523,usr491@gt.edu,usr071@gt.edu,2022-04-19,2022-05-13,accepted,placeholder.com,1942
3614,4087,usr491@gt.edu,usr552@gt.edu,2022-05-02,2022-05-09,accepted,placeholder.com,1943
3615,5334,usr492@gt.edu,usr721@gt.edu,2022-05-09,2022-05-26,rejected,placeholder.com,1944
3616,5676,usr492@gt.edu,usr762@gt.edu,2022-04-18,2022-05-16,accepted,placeholder.com,1945
3618,5446,usr492@gt.edu,usr735@gt.edu,2022-05-24,,unacccepted,placeholder.com,1946
3619,1351,usr493@gt.edu,usr183@gt.edu,2022-04-21,2022-05-18,accepted,placeholder.com,1947
3621,1107,usr493@gt.edu,usr148@gt.edu,2022-04-20,2022-04-27,rejected,placeholder.com,1948
3622,2120,usr493@gt.edu,usr284@gt.edu,2022-04-18,2022-06-10,accepted,placeholder.com,1949
3623,866,usr493@gt.edu,usr114@gt.edu,2022-04-19,,unacccepted,placeholder.com,1950
3624,2656,usr493@gt.edu,usr359@gt.edu,2022-05-06,2022-05-12,rejected,placeholder.com,1951
3624,6133,usr493@gt.edu,usr824@gt.edu,2022-05-19,2022-05-27,accepted,placeholder.com,1952
3631,5983,usr494@gt.edu,usr804@gt.edu,2022-05-18,2022-06-13,rejected,placeholder.com,1953
3634,4218,usr494@gt.edu,usr570@gt.edu,2022-05-30,2022-06-10,accepted,placeholder.com,1954
3636,4347,usr494@gt.edu,usr588@gt.edu,2022-05-24,,unacccepted,placeholder.com,1955
3638,3133,usr494@gt.edu,usr418@gt.edu,2022-04-22,2022-05-03,rejected,placeholder.com,1956
3639,2210,usr494@gt.edu,usr297@gt.edu,2022-04-27,2022-05-17,accepted,placeholder.com,1957
3640,4324,usr494@gt.edu,usr585@gt.edu,2022-06-08,,unacccepted,placeholder.com,1958
3642,4238,usr495@gt.edu,usr573@gt.edu,2022-05-03,2022-05-20,rejected,placeholder.com,1959
3644,133,usr495@gt.edu,usr018@gt.edu,2022-04-29,2022-05-11,accepted,placeholder.com,1960
3646,5135,usr495@gt.edu,usr692@gt.edu,2022-05-04,,unacccepted,placeholder.com,1961
3647,5523,usr495@gt.edu,usr743@gt.edu,2022-04-18,2022-05-09,rejected,placeholder.com,1962
3650,6365,usr496@gt.edu,usr856@gt.edu,2022-04-15,2022-05-06,rejected,placeholder.com,1963
3650,6501,usr496@gt.edu,usr877@gt.edu,2022-05-12,2022-06-13,accepted,placeholder.com,1964
3651,1932,usr496@gt.edu,usr258@gt.edu,2022-04-19,2022-05-09,accepted,placeholder.com,1965
3652,106,usr496@gt.edu,usr015@gt.edu,2022-05-05,2022-05-13,rejected,placeholder.com,1966
3656,1319,usr497@gt.edu,usr179@gt.edu,2022-05-04,2022-06-09,accepted,placeholder.com,1967
3659,1287,usr497@gt.edu,usr175@gt.edu,2022-04-20,2022-05-05,rejected,placeholder.com,1968
3660,4273,usr497@gt.edu,usr578@gt.edu,2022-04-15,2022-05-03,rejected,placeholder.com,1969
3663,7029,usr497@gt.edu,usr947@gt.edu,2022-04-19,,unacccepted,placeholder.com,1970
3664,4298,usr497@gt.edu,usr581@gt.edu,2022-05-06,2022-05-19,rejected,placeholder.com,1971
3665,118,usr498@gt.edu,usr016@gt.edu,2022-04-20,2022-04-25,rejected,placeholder.com,1972
3665,5318,usr498@gt.edu,usr718@gt.edu,2022-05-19,2022-05-23,accepted,placeholder.com,1973
3666,996,usr498@gt.edu,usr134@gt.edu,2022-05-04,2022-05-06,accepted,placeholder.com,1974
3666,6735,usr498@gt.edu,usr907@gt.edu,2022-04-15,2022-04-20,rejected,placeholder.com,1975
3667,6262,usr498@gt.edu,usr841@gt.edu,2022-04-19,2022-06-09,rejected,placeholder.com,1976
3668,1858,usr499@gt.edu,usr248@gt.edu,2022-05-09,,unacccepted,placeholder.com,1977
3670,293,usr499@gt.edu,usr043@gt.edu,2022-04-15,2022-04-22,accepted,placeholder.com,1978
3671,7338,usr499@gt.edu,usr989@gt.edu,2022-04-19,2022-05-12,accepted,placeholder.com,1979
3676,4061,usr500@gt.edu,usr549@gt.edu,2022-04-15,2022-05-04,accepted,placeholder.com,1980
3679,1778,usr500@gt.edu,usr238@gt.edu,2022-04-21,2022-05-19,rejected,placeholder.com,1981
3681,5313,usr500@gt.edu,usr718@gt.edu,2022-04-27,,unacccepted,placeholder.com,1982
3684,1532,usr501@gt.edu,usr205@gt.edu,2022-06-13,2022-06-14,rejected,placeholder.com,1983
3684,2528,usr501@gt.edu,usr342@gt.edu,2022-04-26,2022-04-28,rejected,placeholder.com,1984
3685,1846,usr501@gt.edu,usr246@gt.edu,2022-04-18,,unacccepted,placeholder.com,1985
3688,5227,usr501@gt.edu,usr707@gt.edu,2022-04-15,2022-04-25,accepted,placeholder.com,1986
3691,390,usr502@gt.edu,usr054@gt.edu,2022-04-15,2022-05-03,accepted,placeholder.com,1987
3692,1797,usr502@gt.edu,usr240@gt.edu,2022-04-21,2022-05-24,rejected,placeholder.com,1988
3695,964,usr502@gt.edu,usr129@gt.edu,2022-04-19,2022-04-27,accepted,placeholder.com,1989
3697,5500,usr502@gt.edu,usr741@gt.edu,2022-05-23,,unacccepted,placeholder.com,1990
3704,4762,usr503@gt.edu,usr645@gt.edu,2022-05-13,,unacccepted,placeholder.com,1991
3706,5254,usr503@gt.edu,usr710@gt.edu,2022-04-19,2022-05-16,rejected,placeholder.com,1992
3707,1000,usr503@gt.edu,usr135@gt.edu,2022-04-15,2022-05-12,accepted,placeholder.com,1993
3708,1308,usr503@gt.edu,usr178@gt.edu,2022-05-03,,unacccepted,placeholder.com,1994
3709,5184,usr504@gt.edu,usr700@gt.edu,2022-04-18,,unacccepted,placeholder.com,1995
3710,3912,usr504@gt.edu,usr528@gt.edu,2022-05-16,,unacccepted,placeholder.com,1996
3711,2735,usr504@gt.edu,usr369@gt.edu,2022-05-11,2022-05-25,accepted,placeholder.com,1997
3712,1070,usr504@gt.edu,usr145@gt.edu,2022-04-21,2022-05-23,accepted,placeholder.com,1998
3715,900,usr504@gt.edu,usr119@gt.edu,2022-04-19,2022-05-23,rejected,placeholder.com,1999
3716,537,usr504@gt.edu,usr075@gt.edu,2022-06-10,,unacccepted,placeholder.com,2000
3718,4072,usr504@gt.edu,usr550@gt.edu,2022-04-15,2022-04-26,accepted,placeholder.com,2001
3720,546,usr505@gt.edu,usr076@gt.edu,2022-04-15,2022-05-11,accepted,placeholder.com,2002
3721,6427,usr505@gt.edu,usr866@gt.edu,2022-05-11,2022-05-24,accepted,placeholder.com,2003
3722,3759,usr505@gt.edu,usr510@gt.edu,2022-05-03,2022-05-09,rejected,placeholder.com,2004
3723,5530,usr506@gt.edu,usr744@gt.edu,2022-04-25,2022-04-28,accepted,placeholder.com,2005
3731,4906,usr506@gt.edu,usr662@gt.edu,2022-04-15,2022-05-25,rejected,placeholder.com,2006
3732,7038,usr506@gt.edu,usr948@gt.edu,2022-04-19,2022-06-08,rejected,placeholder.com,2007
3733,6805,usr506@gt.edu,usr920@gt.edu,2022-04-18,2022-04-27,rejected,placeholder.com,2008
3735,6400,usr507@gt.edu,usr862@gt.edu,2022-04-28,,unacccepted,placeholder.com,2009
3736,5355,usr507@gt.edu,usr724@gt.edu,2022-04-19,2022-06-07,rejected,placeholder.com,2010
3737,1295,usr507@gt.edu,usr175@gt.edu,2022-04-27,2022-05-09,rejected,placeholder.com,2011
3739,2467,usr507@gt.edu,usr335@gt.edu,2022-04-18,2022-05-02,accepted,placeholder.com,2012
3743,298,usr508@gt.edu,usr043@gt.edu,2022-05-02,2022-05-06,accepted,placeholder.com,2013
3743,2404,usr508@gt.edu,usr325@gt.edu,2022-04-21,2022-04-28,rejected,placeholder.com,2014
3746,5105,usr508@gt.edu,usr688@gt.edu,2022-05-26,,unacccepted,placeholder.com,2015
3746,6398,usr508@gt.edu,usr862@gt.edu,2022-04-15,2022-04-22,rejected,placeholder.com,2016
3747,3741,usr508@gt.edu,usr507@gt.edu,2022-05-04,,unacccepted,placeholder.com,2017
3748,1435,usr508@gt.edu,usr193@gt.edu,2022-04-19,2022-06-01,accepted,placeholder.com,2018
3749,1963,usr508@gt.edu,usr263@gt.edu,2022-05-03,,unacccepted,placeholder.com,2019
3750,1304,usr508@gt.edu,usr177@gt.edu,2022-05-13,2022-06-03,accepted,placeholder.com,2020
3752,7287,usr509@gt.edu,usr982@gt.edu,2022-04-19,2022-04-20,accepted,placeholder.com,2021
3753,3121,usr509@gt.edu,usr416@gt.edu,2022-04-15,2022-05-09,accepted,placeholder.com,2022
3755,5594,usr510@gt.edu,usr753@gt.edu,2022-04-15,2022-05-02,rejected,placeholder.com,2023
3758,7177,usr510@gt.edu,usr967@gt.edu,2022-04-19,2022-04-29,accepted,placeholder.com,2024
3762,4270,usr510@gt.edu,usr578@gt.edu,2022-05-31,2022-06-02,accepted,placeholder.com,2025
3763,3798,usr510@gt.edu,usr514@gt.edu,2022-04-22,2022-04-27,accepted,placeholder.com,2026
3764,3024,usr510@gt.edu,usr404@gt.edu,2022-05-02,2022-05-06,rejected,placeholder.com,2027
3769,6140,usr511@gt.edu,usr825@gt.edu,2022-04-22,2022-05-17,rejected,placeholder.com,2028
3771,4983,usr511@gt.edu,usr673@gt.edu,2022-05-06,2022-05-13,accepted,placeholder.com,2029
3779,5831,usr512@gt.edu,usr782@gt.edu,2022-04-18,2022-05-26,accepted,placeholder.com,2030
3783,1888,usr512@gt.edu,usr253@gt.edu,2022-04-27,,unacccepted,placeholder.com,2031
3784,2005,usr512@gt.edu,usr269@gt.edu,2022-05-02,,unacccepted,placeholder.com,2032
3786,2705,usr513@gt.edu,usr364@gt.edu,2022-05-06,2022-05-20,rejected,placeholder.com,2033
3786,3102,usr513@gt.edu,usr413@gt.edu,2022-06-02,,unacccepted,placeholder.com,2034
3788,6412,usr513@gt.edu,usr864@gt.edu,2022-04-26,2022-06-14,rejected,placeholder.com,2035
3790,967,usr513@gt.edu,usr129@gt.edu,2022-05-16,2022-05-30,rejected,placeholder.com,2036
3790,4146,usr513@gt.edu,usr561@gt.edu,2022-04-21,2022-05-02,rejected,placeholder.com,2037
3791,2368,usr513@gt.edu,usr319@gt.edu,2022-05-12,2022-05-27,rejected,placeholder.com,2038
3795,2929,usr513@gt.edu,usr392@gt.edu,2022-05-27,,unacccepted,placeholder.com,2039
3797,3609,usr514@gt.edu,usr490@gt.edu,2022-04-26,2022-05-13,rejected,placeholder.com,2040
3801,6452,usr514@gt.edu,usr870@gt.edu,2022-04-25,2022-05-02,rejected,placeholder.com,2041
3803,2238,usr514@gt.edu,usr301@gt.edu,2022-06-08,,unacccepted,placeholder.com,2042
3806,5278,usr515@gt.edu,usr713@gt.edu,2022-05-04,2022-05-19,rejected,placeholder.com,2043
3809,1974,usr515@gt.edu,usr265@gt.edu,2022-04-19,2022-04-29,accepted,placeholder.com,2044
3810,4010,usr515@gt.edu,usr540@gt.edu,2022-05-02,2022-05-30,rejected,placeholder.com,2045
3813,6754,usr515@gt.edu,usr910@gt.edu,2022-04-22,2022-05-11,accepted,placeholder.com,2046
3815,3262,usr516@gt.edu,usr439@gt.edu,2022-05-10,,unacccepted,placeholder.com,2047
3816,3805,usr516@gt.edu,usr515@gt.edu,2022-04-28,,unacccepted,placeholder.com,2048
3817,6185,usr516@gt.edu,usr830@gt.edu,2022-05-09,2022-06-02,accepted,placeholder.com,2049
3818,1187,usr516@gt.edu,usr160@gt.edu,2022-04-19,2022-05-03,accepted,placeholder.com,2050
3819,2904,usr516@gt.edu,usr389@gt.edu,2022-05-17,2022-06-03,accepted,placeholder.com,2051
3821,6423,usr516@gt.edu,usr866@gt.edu,2022-06-06,2022-06-14,rejected,placeholder.com,2052
3822,5886,usr516@gt.edu,usr791@gt.edu,2022-05-26,,unacccepted,placeholder.com,2053
3825,114,usr517@gt.edu,usr016@gt.edu,2022-04-25,2022-05-09,accepted,placeholder.com,2054
3828,1220,usr517@gt.edu,usr164@gt.edu,2022-04-21,2022-05-12,accepted,placeholder.com,2055
3831,6750,usr517@gt.edu,usr910@gt.edu,2022-05-09,,unacccepted,placeholder.com,2056
3832,4367,usr517@gt.edu,usr591@gt.edu,2022-04-19,2022-05-05,accepted,placeholder.com,2057
3833,6097,usr517@gt.edu,usr819@gt.edu,2022-05-12,2022-06-07,rejected,placeholder.com,2058
3837,5597,usr518@gt.edu,usr753@gt.edu,2022-04-21,,unacccepted,placeholder.com,2059
3839,4512,usr518@gt.edu,usr611@gt.edu,2022-05-13,2022-05-27,rejected,placeholder.com,2060
3842,2295,usr518@gt.edu,usr311@gt.edu,2022-05-19,2022-05-30,accepted,placeholder.com,2061
3843,3756,usr518@gt.edu,usr510@gt.edu,2022-04-18,2022-04-19,accepted,placeholder.com,2062
3845,631,usr519@gt.edu,usr086@gt.edu,2022-05-26,,unacccepted,placeholder.com,2063
3847,4907,usr519@gt.edu,usr662@gt.edu,2022-04-22,2022-05-25,accepted,placeholder.com,2064
3848,659,usr519@gt.edu,usr088@gt.edu,2022-04-19,2022-04-29,rejected,placeholder.com,2065
3848,4069,usr519@gt.edu,usr550@gt.edu,2022-05-13,,unacccepted,placeholder.com,2066
3849,5545,usr519@gt.edu,usr746@gt.edu,2022-04-20,2022-05-18,rejected,placeholder.com,2067
3852,345,usr520@gt.edu,usr049@gt.edu,2022-04-20,2022-04-21,accepted,placeholder.com,2068
3853,4220,usr520@gt.edu,usr570@gt.edu,2022-04-29,2022-06-07,rejected,placeholder.com,2069
3857,1603,usr520@gt.edu,usr213@gt.edu,2022-04-26,2022-05-02,accepted,placeholder.com,2070
3859,5012,usr521@gt.edu,usr677@gt.edu,2022-05-13,2022-05-17,accepted,placeholder.com,2071
3860,4174,usr521@gt.edu,usr564@gt.edu,2022-04-25,2022-05-12,accepted,placeholder.com,2072
3861,4628,usr521@gt.edu,usr627@gt.edu,2022-04-15,,unacccepted,placeholder.com,2073
3862,6100,usr522@gt.edu,usr819@gt.edu,2022-04-22,,unacccepted,placeholder.com,2074
3866,6211,usr523@gt.edu,usr835@gt.edu,2022-04-25,,unacccepted,placeholder.com,2075
3867,1199,usr523@gt.edu,usr161@gt.edu,2022-05-30,2022-06-06,accepted,placeholder.com,2076
3869,6848,usr523@gt.edu,usr925@gt.edu,2022-04-21,2022-04-28,accepted,placeholder.com,2077
3871,1859,usr523@gt.edu,usr248@gt.edu,2022-04-18,2022-05-03,rejected,placeholder.com,2078
3871,4761,usr523@gt.edu,usr645@gt.edu,2022-05-20,2022-06-14,accepted,placeholder.com,2079
3874,1945,usr523@gt.edu,usr261@gt.edu,2022-04-26,2022-05-12,accepted,placeholder.com,2080
3877,5104,usr524@gt.edu,usr688@gt.edu,2022-04-18,2022-05-17,accepted,placeholder.com,2081
3878,4237,usr524@gt.edu,usr573@gt.edu,2022-05-26,2022-05-30,accepted,placeholder.com,2082
3879,3595,usr524@gt.edu,usr488@gt.edu,2022-04-29,2022-05-31,accepted,placeholder.com,2083
3881,2183,usr524@gt.edu,usr294@gt.edu,2022-05-24,2022-06-07,rejected,placeholder.com,2084
3884,57,usr524@gt.edu,usr008@gt.edu,2022-05-04,,unacccepted,placeholder.com,2085
3887,6530,usr525@gt.edu,usr881@gt.edu,2022-06-02,,unacccepted,placeholder.com,2086
3888,4288,usr525@gt.edu,usr579@gt.edu,2022-04-15,2022-05-04,accepted,placeholder.com,2087
3889,5242,usr525@gt.edu,usr709@gt.edu,2022-04-25,2022-04-26,accepted,placeholder.com,2088
3890,1459,usr525@gt.edu,usr196@gt.edu,2022-04-29,2022-05-18,accepted,placeholder.com,2089
3893,4687,usr526@gt.edu,usr635@gt.edu,2022-04-20,2022-05-10,accepted,placeholder.com,2090
3896,3026,usr526@gt.edu,usr404@gt.edu,2022-04-15,2022-04-18,accepted,placeholder.com,2091
3897,7290,usr526@gt.edu,usr982@gt.edu,2022-04-19,2022-05-12,accepted,placeholder.com,2092
3910,7298,usr528@gt.edu,usr984@gt.edu,2022-04-26,2022-05-27,accepted,placeholder.com,2093
3913,3993,usr528@gt.edu,usr538@gt.edu,2022-05-11,2022-05-26,rejected,placeholder.com,2094
3914,3543,usr528@gt.edu,usr481@gt.edu,2022-04-28,2022-05-23,accepted,placeholder.com,2095
3915,1004,usr528@gt.edu,usr135@gt.edu,2022-04-19,,unacccepted,placeholder.com,2096
3919,3967,usr528@gt.edu,usr534@gt.edu,2022-05-12,,unacccepted,placeholder.com,2097
3919,5769,usr528@gt.edu,usr776@gt.edu,2022-04-20,2022-05-11,rejected,placeholder.com,2098
3920,6000,usr529@gt.edu,usr806@gt.edu,2022-04-21,2022-05-06,accepted,placeholder.com,2099
3921,6222,usr529@gt.edu,usr836@gt.edu,2022-04-19,2022-05-12,rejected,placeholder.com,2100
3925,435,usr529@gt.edu,usr059@gt.edu,2022-06-07,,unacccepted,placeholder.com,2101
3926,4154,usr529@gt.edu,usr562@gt.edu,2022-04-15,2022-06-06,accepted,placeholder.com,2102
3927,6496,usr529@gt.edu,usr876@gt.edu,2022-04-26,,unacccepted,placeholder.com,2103
3930,4432,usr530@gt.edu,usr601@gt.edu,2022-04-20,,unacccepted,placeholder.com,2104
3932,6718,usr530@gt.edu,usr905@gt.edu,2022-05-20,,unacccepted,placeholder.com,2105
3933,7337,usr530@gt.edu,usr989@gt.edu,2022-04-26,2022-05-17,accepted,placeholder.com,2106
3936,2141,usr531@gt.edu,usr286@gt.edu,2022-05-02,,unacccepted,placeholder.com,2107
3938,4223,usr531@gt.edu,usr571@gt.edu,2022-04-25,,unacccepted,placeholder.com,2108
3940,829,usr531@gt.edu,usr109@gt.edu,2022-04-15,2022-05-11,rejected,placeholder.com,2109
3940,2986,usr531@gt.edu,usr398@gt.edu,2022-05-30,,unacccepted,placeholder.com,2110
3942,2951,usr531@gt.edu,usr395@gt.edu,2022-05-25,,unacccepted,placeholder.com,2111
3945,3101,usr531@gt.edu,usr413@gt.edu,2022-04-20,2022-04-29,accepted,placeholder.com,2112
3947,539,usr532@gt.edu,usr075@gt.edu,2022-04-21,2022-05-11,accepted,placeholder.com,2113
3948,4499,usr532@gt.edu,usr610@gt.edu,2022-04-28,2022-05-30,accepted,placeholder.com,2114
3949,1982,usr532@gt.edu,usr265@gt.edu,2022-05-30,2022-06-02,rejected,placeholder.com,2115
3951,44,usr532@gt.edu,usr007@gt.edu,2022-04-22,2022-04-25,rejected,placeholder.com,2116
3953,100,usr533@gt.edu,usr014@gt.edu,2022-04-22,2022-05-10,accepted,placeholder.com,2117
3954,894,usr533@gt.edu,usr118@gt.edu,2022-05-10,2022-05-16,accepted,placeholder.com,2118
3955,3806,usr533@gt.edu,usr515@gt.edu,2022-04-15,2022-04-29,rejected,placeholder.com,2119
3958,5526,usr534@gt.edu,usr744@gt.edu,2022-05-13,,unacccepted,placeholder.com,2120
3959,2855,usr534@gt.edu,usr384@gt.edu,2022-04-19,2022-05-03,accepted,placeholder.com,2121
3961,574,usr534@gt.edu,usr080@gt.edu,2022-04-15,2022-05-05,accepted,placeholder.com,2122
3962,5282,usr534@gt.edu,usr714@gt.edu,2022-04-22,2022-04-29,rejected,placeholder.com,2123
3965,263,usr534@gt.edu,usr038@gt.edu,2022-05-23,2022-05-24,accepted,placeholder.com,2124
3969,177,usr535@gt.edu,usr026@gt.edu,2022-05-10,,unacccepted,placeholder.com,2125
3970,834,usr535@gt.edu,usr110@gt.edu,2022-05-03,2022-06-13,accepted,placeholder.com,2126
3970,4445,usr535@gt.edu,usr602@gt.edu,2022-04-20,2022-04-26,rejected,placeholder.com,2127
3972,6060,usr535@gt.edu,usr813@gt.edu,2022-05-31,,unacccepted,placeholder.com,2128
3974,302,usr535@gt.edu,usr044@gt.edu,2022-04-27,2022-05-12,rejected,placeholder.com,2129
3974,2396,usr535@gt.edu,usr323@gt.edu,2022-05-25,,unacccepted,placeholder.com,2130
3977,5980,usr536@gt.edu,usr803@gt.edu,2022-05-09,2022-05-12,accepted,placeholder.com,2131
3980,6293,usr536@gt.edu,usr845@gt.edu,2022-04-21,2022-05-13,accepted,placeholder.com,2132
3982,5236,usr537@gt.edu,usr708@gt.edu,2022-04-28,2022-05-17,accepted,placeholder.com,2133
3984,7286,usr537@gt.edu,usr982@gt.edu,2022-04-25,2022-05-02,accepted,placeholder.com,2134
3985,4176,usr537@gt.edu,usr564@gt.edu,2022-04-20,2022-05-20,accepted,placeholder.com,2135
3986,3364,usr537@gt.edu,usr454@gt.edu,2022-04-15,2022-05-16,rejected,placeholder.com,2136
3986,4688,usr537@gt.edu,usr635@gt.edu,2022-06-09,,unacccepted,placeholder.com,2137
3988,3773,usr538@gt.edu,usr511@gt.edu,2022-05-02,2022-06-14,accepted,placeholder.com,2138
3989,3203,usr538@gt.edu,usr429@gt.edu,2022-04-25,2022-05-06,rejected,placeholder.com,2139
3990,5653,usr538@gt.edu,usr759@gt.edu,2022-04-20,2022-04-21,accepted,placeholder.com,2140
3995,3184,usr538@gt.edu,usr427@gt.edu,2022-04-26,,unacccepted,placeholder.com,2141
3996,5355,usr538@gt.edu,usr724@gt.edu,2022-06-07,2022-06-13,accepted,placeholder.com,2142
3998,3106,usr539@gt.edu,usr414@gt.edu,2022-05-04,2022-05-05,accepted,placeholder.com,2143
3999,6035,usr539@gt.edu,usr811@gt.edu,2022-04-15,,unacccepted,placeholder.com,2144
4000,5618,usr539@gt.edu,usr756@gt.edu,2022-04-29,,unacccepted,placeholder.com,2145
4004,5224,usr540@gt.edu,usr707@gt.edu,2022-05-10,2022-05-16,rejected,placeholder.com,2146
4005,127,usr540@gt.edu,usr018@gt.edu,2022-04-26,,unacccepted,placeholder.com,2147
4006,2849,usr540@gt.edu,usr383@gt.edu,2022-05-13,2022-05-23,accepted,placeholder.com,2148
4010,7219,usr540@gt.edu,usr974@gt.edu,2022-06-01,,unacccepted,placeholder.com,2149
4013,6841,usr541@gt.edu,usr925@gt.edu,2022-04-15,2022-06-03,rejected,placeholder.com,2150
4015,3680,usr541@gt.edu,usr500@gt.edu,2022-06-07,,unacccepted,placeholder.com,2151
4016,4821,usr542@gt.edu,usr651@gt.edu,2022-04-15,2022-05-10,accepted,placeholder.com,2152
4019,3627,usr543@gt.edu,usr493@gt.edu,2022-04-22,2022-05-31,rejected,placeholder.com,2153
4020,2129,usr543@gt.edu,usr285@gt.edu,2022-04-27,2022-05-02,accepted,placeholder.com,2154
4021,3973,usr543@gt.edu,usr535@gt.edu,2022-04-15,,unacccepted,placeholder.com,2155
4023,589,usr544@gt.edu,usr081@gt.edu,2022-05-13,2022-06-02,accepted,placeholder.com,2156
4025,3034,usr544@gt.edu,usr404@gt.edu,2022-04-28,2022-05-06,rejected,placeholder.com,2157
4027,3084,usr544@gt.edu,usr411@gt.edu,2022-05-16,2022-06-06,accepted,placeholder.com,2158
4028,623,usr544@gt.edu,usr085@gt.edu,2022-06-03,,unacccepted,placeholder.com,2159
4028,4487,usr544@gt.edu,usr608@gt.edu,2022-04-21,2022-05-24,rejected,placeholder.com,2160
4032,5918,usr545@gt.edu,usr796@gt.edu,2022-04-21,,unacccepted,placeholder.com,2161
4033,1022,usr545@gt.edu,usr138@gt.edu,2022-04-20,2022-06-03,rejected,placeholder.com,2162
4033,3724,usr545@gt.edu,usr506@gt.edu,2022-06-07,2022-06-13,accepted,placeholder.com,2163
4034,2985,usr545@gt.edu,usr398@gt.edu,2022-04-26,2022-05-30,rejected,placeholder.com,2164
4035,1154,usr545@gt.edu,usr157@gt.edu,2022-04-22,2022-05-17,rejected,placeholder.com,2165
4036,2307,usr545@gt.edu,usr312@gt.edu,2022-06-01,,unacccepted,placeholder.com,2166
4038,972,usr546@gt.edu,usr131@gt.edu,2022-04-27,2022-05-20,accepted,placeholder.com,2167
4039,5682,usr546@gt.edu,usr764@gt.edu,2022-05-27,2022-06-08,accepted,placeholder.com,2168
4041,6433,usr546@gt.edu,usr867@gt.edu,2022-04-15,2022-05-03,accepted,placeholder.com,2169
4042,5682,usr546@gt.edu,usr764@gt.edu,2022-04-18,2022-05-03,rejected,placeholder.com,2170
4049,2388,usr547@gt.edu,usr322@gt.edu,2022-05-25,2022-05-30,accepted,placeholder.com,2171
