item_number	title	condition	description	email	type	card_count	platform	media
4398	ARMA 2	Heavily Used		usr595@gt.edu	Computer Game		Windows	
4399	Axis Assassin	Moderately Used	Electronic Arts	usr596@gt.edu	Computer Game		Windows	
4400	Megamind: Ultimate Showdown	Moderately Used	Action   THQ	usr596@gt.edu	Video Game		Xbox	Cartridge
4401	Wahoo	Heavily Used		usr596@gt.edu	Board Game			
4402	Infogrames	Moderately Used	Ocean SoftwareNA   	usr596@gt.edu	Video Game		Nintendo	Game card
4403	Digimon D-Tector 	Heavily Used	Bandai   	usr596@gt.edu	Collectible Card Game	145		
4404	Eye of the Beholder III: Assault on Myth Drannor	Heavily Used	Strategic Simulations, Inc.	usr596@gt.edu	Computer Game		Windows	
4405	Palace (2-6 players)	Unopened	"Also called  ""Karma"" or ""Idiot"". A very light casual game, where the aim is to avoid being last to get rid of your cards"	usr596@gt.edu	Playing Card Game			
4406	Daikaijuu Monogatari: The Miracle of the Zone	Lightly Used	Amada Printing   	usr597@gt.edu	Collectible Card Game	259		
4407	Gin Rummy (2 players)	Unopened	"Derived from Rummy (see earlier on this list), Gin Rummy is a ""knocking game"" that differs from Rummy in that melds are kept in hand until the end of a deal"	usr597@gt.edu	Playing Card Game			
4408	Moe Moe 2-Ji Daisenryaku Ultra Deluxe	Unopened	Shooter   SystemSoft	usr597@gt.edu	Video Game		Xbox	Cartridge
4409	Madden NFL 11	Heavily Used		usr597@gt.edu	Video Game		Xbox	Optical disc
4410	NFL Quarterback Club 99	Like New	Iguana Entertainment   Acclaim Sports	usr597@gt.edu	Video Game		Nintendo	Optical disc
4411	kkrieger	Like New	.theprodukkt	usr597@gt.edu	Computer Game		Windows	
4412	Ganbare Goemon: Neo Momoyama Bakufu no OdoriJP	Unopened	KCEO   Konami	usr598@gt.edu	Video Game		Nintendo	Cartridge
4413	Pokemon Planet	Heavily Used	Brody	usr598@gt.edu	Computer Game		Windows	
4414	Juiced 2: Hot Import Nights	Heavily Used	Juice Games / Paradigm Entertainment   January 24, 2008	usr598@gt.edu	Video Game		PlayStation	Game card
4415	SimCity Societies	Moderately Used	Tilted Mill Entertainment   Electronic Arts	usr598@gt.edu	Computer Game		Windows	
4416	Techniconica 	Heavily Used	Stephen Bailey   	usr599@gt.edu	Collectible Card Game	415		
4417	Empires Apart	Like New	Destiny Bit   Slitherine	usr599@gt.edu	Computer Game		macOS	
4418	"Highlander: The Card Game	"	Like New	Thunder Castle Games   	usr599@gt.edu	Collectible Card Game	214		
4419	Euchre (4 players)	Unopened		usr599@gt.edu	Playing Card Game			
4420	Euro Truck Simulator 2	Like New	SCS Software	usr599@gt.edu	Computer Game		macOS	
4421	Wasteland	Heavily Used	Interplay Productions   Electronic Arts	usr599@gt.edu	Computer Game		Windows	
4422	Marvel vs. Capcom Origins	Like New		usr599@gt.edu	Video Game		Xbox	Game card
4423	Medal of Honor: Warfighter	Like New	First-person Shooter   Danger Close Games	usr599@gt.edu	Video Game		Xbox	Game card
4424	Just Dance 4	Damaged/Missing parts	Ubisoft Paris   October 2, 2014	usr599@gt.edu	Video Game		PlayStation	Game card
4425	Digimon Digi-Battle Card Game	Lightly Used		usr599@gt.edu	Collectible Card Game	693		
4426	Crystalicum: Krysztalowa Gra Karciana 	Like New	Wolf Fang P.H.   	usr599@gt.edu	Collectible Card Game	663		
4427	Don: Continuing Criminal Enterprise 	Unopened		usr599@gt.edu	Collectible Card Game	52		
4428	Dragon Ball Z Collectible Card Game 	Heavily Used	Score Entertainment   	usr600@gt.edu	Collectible Card Game	235		
4429	Stormfront Studios	Lightly Used	EA Sports   Racing/Automobile	usr600@gt.edu	Video Game		Nintendo	Game card
4430	Queen of the Celts	Heavily Used	Avalanche Press  2007	usr600@gt.edu	Board Game			
4431	Age of Wonders: Shadow Magic	Lightly Used	Triumph Studios   Gathering of Developers	usr600@gt.edu	Computer Game		Windows	
4432	Assassin's Creed Origins	Damaged/Missing parts	Ubisoft Montreal   Ubisoft	usr601@gt.edu	Computer Game		macOS	
4433	Silent Hunter 4: Wolves of the Pacific	Lightly Used	Ubisoft Bucharest   Ubisoft	usr601@gt.edu	Computer Game		Windows	
4434	AdVenture Capitalist	Unopened	Hyper Hippo Productions	usr601@gt.edu	Computer Game		macOS	
4435	Gridiron Fantasy Football	Unopened	Upper Deck   	usr601@gt.edu	Collectible Card Game	175		
4436	Age of Empires: The Rise of Rome	Like New	Ensemble Studios   Microsoft Game Studios	usr601@gt.edu	Computer Game		Windows	
4437	NuFX	Unopened	EA Sports   Sports/Basketball	usr601@gt.edu	Video Game		Nintendo	Game card
4438	Borderlands: The Pre-Sequel!	Moderately Used	Gearbox Software, 2K Australia   2K Games	usr601@gt.edu	Computer Game		Windows	
4439	Parlor! Pro 64: Pachinko Jikki Simulation	Damaged/Missing parts	Irem Software Engineering   	usr601@gt.edu	Video Game		Nintendo	Game card
4440	Killer Instinct	Lightly Used	Topps   	usr601@gt.edu	Collectible Card Game	165		
4441	Multi-Racing ChampionshipJP	Heavily Used	Genki   ImagineerJP	usr601@gt.edu	Video Game		Nintendo	Optical disc
4442	Alan Wake	Damaged/Missing parts	Remedy Entertainment   Microsoft Game Studios, Remedy Entertainment, Nordic Games, E Frontier	usr601@gt.edu	Computer Game		macOS	
4443	Metal Gear Solid HD Collection	Damaged/Missing parts		usr602@gt.edu	Video Game		Xbox	Cartridge
4444	Audiosurf	Moderately Used	Dylan Fitterer	usr602@gt.edu	Computer Game		Windows	
4445	Age of Empires: The Rise of Rome	Moderately Used	Ensemble Studios   Microsoft Game Studios	usr602@gt.edu	Computer Game		Windows	
4446	Trireme	Lightly Used	Battleline Publications  1979	usr603@gt.edu	Board Game			
4447	Age of Wonders II: The Wizard's Throne	Moderately Used	Triumph Studios   Take Two Interactive	usr603@gt.edu	Computer Game		Linux	
4448	Scrolls	Like New	Mojang	usr603@gt.edu	Computer Game		Windows	
4449	BattleTech	Moderately Used	Wizards of the Coast   	usr603@gt.edu	Collectible Card Game	272		
4450	AD&D Masterpiece Collection	Heavily Used	Strategic Simulations	usr603@gt.edu	Computer Game		Windows	
4451	A Druid's Duel	Heavily Used		usr603@gt.edu	Computer Game		Linux	
4452	Age of Pirates 2: City of Abandoned Ships	Like New	Akella   Playlogic	usr603@gt.edu	Computer Game		Windows	
4453	Monster Hunter Frontier G9	Lightly Used		usr603@gt.edu	Video Game		Xbox	Cartridge
4454	Ken il Guerriero: Gioco di Carte Collezionabili 	Unopened	Alchemia   	usr603@gt.edu	Collectible Card Game	629		
4455	ABC Sports Monday Night Football	Lightly Used	OT Sports]   ABC Interactive	usr603@gt.edu	Computer Game		Windows	
4456	Baldur's Gate	Lightly Used	BioWare   Black Isle Studios, Interplay Entertainment	usr603@gt.edu	Computer Game		macOS	
4457	300 Spartans	Damaged/Missing parts	Zvezda  2003	usr604@gt.edu	Board Game			
4458	Achtung Panzer: Kharkov 1943	Like New	Graviteam   Paradox Interactive	usr604@gt.edu	Computer Game		Windows	
4459	Mike Piazza's Strike Zone	Lightly Used	Devil's Thumb Entertainment   GT Interactive	usr604@gt.edu	Video Game		Nintendo	Game card
4460	AssaultCube (AC)	Lightly Used	Rabid Viper Productions	usr604@gt.edu	Computer Game		macOS	
4461	GT InteractivePAL	Lightly Used	Racing/Automobile   1998-06NA	usr604@gt.edu	Video Game		Nintendo	Game card
4462	Majin and the Forsaken Kingdom	Heavily Used	Action-adventure, Puzzle, Platformer   Game Republic	usr604@gt.edu	Video Game		Xbox	Game card
4463	CodemastersPAL	Damaged/Missing parts	Racing/Arcade   1999-03-24NA	usr604@gt.edu	Video Game		Nintendo	Game card
4464	Blitz (2-12 players)	Damaged/Missing parts	"A popular and casual/social card game, also known as ""Scat"", ""Thirty-One"", ""Ride the Bus"", and ""Blitz"""	usr604@gt.edu	Playing Card Game			
4465	SpaceChem	Heavily Used		usr604@gt.edu	Computer Game		Linux	
4466	NBA Jam 99	Like New	Iguana West   Acclaim Sports	usr604@gt.edu	Video Game		Nintendo	Game card
4467	Donkey Kong card game	Like New	Nintendo   	usr605@gt.edu	Collectible Card Game	142		
4468	Jikkyou Powerful Pro Yakyuu 2011	Unopened		usr605@gt.edu	Video Game		PlayStation	Optical disc
4469	KonamiJP	Unopened	Sports/Ice Hockey   1998-02-23NA	usr605@gt.edu	Video Game		Nintendo	Cartridge
4470	Katamari Forever	Moderately Used	Namco Bandai   July 23, 2009	usr606@gt.edu	Video Game		PlayStation	Cartridge
4471	Jimmie Johnson's Anything with an Engine	Lightly Used	Isopod Labs   	usr606@gt.edu	Video Game		PlayStation	Optical disc
4472	Battlefield Heroes	Unopened	EA Digital Illusions CE, Easy Studios   Electronic Arts, Aeria Games	usr606@gt.edu	Computer Game		Windows	
4473	Borderlands 3	Damaged/Missing parts	Gearbox Software   2K Games	usr606@gt.edu	Computer Game		Linux	
4474	Magic: The Gathering 2014	Lightly Used	Card & Board   Stainless Games	usr606@gt.edu	Video Game		Xbox	Optical disc
4475	Hearts (3-7 players)	Moderately Used	One of the all time classic trick-taking games, where the aim is to avoid taking tricks with Hearts, since these are minus points, while the Queen of Spades is a whopping 13 minus points	usr606@gt.edu	Playing Card Game			
4476	Ranter-Go-Round (3-12 players)	Moderately Used	"This is also known as ""Screw Your Neighbor"",  ""Chase The Ace"" or ""Cuckoo"", with slight variations"	usr606@gt.edu	Playing Card Game			
4477	Project Zomboid	Lightly Used	The Indie Stone	usr607@gt.edu	Computer Game		Windows	
4478	Megamind: Ultimate Showdown	Moderately Used	Action   THQ	usr607@gt.edu	Video Game		Xbox	Cartridge
4479	A Duel Hand Disaster: Trackher	Lightly Used		usr607@gt.edu	Computer Game		Windows	
4480	Anno 2070	Heavily Used	Related Designs, Blue Byte   UbisoftAdded Achron	usr607@gt.edu	Computer Game		Windows	
4481	Age of Conan	Heavily Used	Funcom	usr607@gt.edu	Computer Game		macOS	
4482	Burnout Paradise: The Ultimate Box	Like New	Criterion Games   Electronic Arts	usr607@gt.edu	Computer Game		Windows	
4483	Sengoku	Damaged/Missing parts	Paradox Development Studios   Paradox Interactive	usr607@gt.edu	Computer Game		macOS	
4484	Daikaijuu Monogatari: The Miracle of the Zone	Damaged/Missing parts	Amada Printing   	usr607@gt.edu	Collectible Card Game	259		
4485	Minesweeper Flags	Lightly Used	Puzzle & Trivia   TikGames	usr608@gt.edu	Video Game		Xbox	Cartridge
4486	Conan Collectible Card Game	Lightly Used		usr608@gt.edu	Collectible Card Game	228		
4487	A dragon girl looks up at the endless sky	Unopened	DebonosuWorks Inc.	usr608@gt.edu	Computer Game		macOS	
4488	Conan Collectible Card Game	Lightly Used	Comic Images/Tempo Games   	usr608@gt.edu	Collectible Card Game	228		
4489	Memories Off 6: T-wave	Damaged/Missing parts	Visual novel   5pb.	usr608@gt.edu	Video Game		Xbox	Cartridge
4490	Payday: The Heist	Heavily Used	Overkill Software   Sony Online Entertainment	usr608@gt.edu	Computer Game		Windows	
4491	ARMA 3	Unopened	Bohemia Interactive	usr608@gt.edu	Computer Game		Windows	
4492	Firestorm Tactical Card Game 	Like New		usr608@gt.edu	Collectible Card Game	513		
4493	Flesh & Blood 	Unopened	Legend Story Studios   	usr608@gt.edu	Collectible Card Game	70		
4494	Transformers 	Like New	Wizards of the Coast   	usr608@gt.edu	Collectible Card Game	359		
4495	Agatha Christie: Evil Under the Sun	Like New	AWE Productions   The Adventure Company	usr609@gt.edu	Computer Game		Windows	
4496	Just Dance 3	Like New	Ubisoft Paris   	usr609@gt.edu	Video Game		PlayStation	Optical disc
4497	Age of Empires II: The Forgotten	Damaged/Missing parts	Skybox Labs, Forgotten Empires LLC   Microsoft Game Studios	usr609@gt.edu	Computer Game		macOS	
4498	"World of Warcraft Trading Card Game	"	Unopened	Upper Deck/Cryptozoic Entertainment   	usr609@gt.edu	Collectible Card Game	575		
4499	THQNA/PAL	Lightly Used		usr610@gt.edu	Video Game		Nintendo	Cartridge
4500	"Yu-Gi-Oh! Trading Card Game	"	Like New	Konami   	usr610@gt.edu	Collectible Card Game	468		
4501	The Conquerors	Damaged/Missing parts	Simulations Publications, Inc.  1977	usr610@gt.edu	Board Game			
4502	Black Mesa	Unopened		usr611@gt.edu	Computer Game		Windows	
4503	Legion	Heavily Used		usr611@gt.edu	Board Game			
4504	NFL Blitz 2001	Unopened	Point of View   Midway Home Entertainment	usr611@gt.edu	Video Game		Nintendo	Optical disc
4505	Adrift (video game)	Like New	Three One Zero   505 Games	usr611@gt.edu	Computer Game		Linux	
4506	Age of Empires II: The Conquerors	Lightly Used		usr611@gt.edu	Computer Game		Windows	
4507	Actua Soccer	Lightly Used	Gremlin Interactive   Greenwood Entertainment	usr611@gt.edu	Computer Game		Windows	
4508	"Vampire: The Eternal Struggle (AKA Jyhad)	"	Unopened	Wizards of the Coast/White Wolf Publishing Inc./Black Chantry   	usr611@gt.edu	Collectible Card Game	497		
4509	Chariot	Damaged/Missing parts		usr611@gt.edu	Board Game			
4510	Asura System	Moderately Used	published by Terranetz   	usr611@gt.edu	Collectible Card Game	194		
4511	Xena: Warrior Princess 	Damaged/Missing parts	Wizards of the Coast   	usr611@gt.edu	Collectible Card Game	369		
4512	Marble Blast Ultra	Moderately Used	Action & Adventure   GarageGames	usr611@gt.edu	Video Game		Xbox	Optical disc
4513	"Future Card Buddyfight	"	Heavily Used	Bushiroad   	usr611@gt.edu	Collectible Card Game	569		
4514	Just Dance 2015	Damaged/Missing parts	Ubisoft Paris   	usr612@gt.edu	Video Game		PlayStation	Game card
4515	Mickey no Racing Challenge USAJP	Moderately Used		usr612@gt.edu	Video Game		Nintendo	Game card
4516	Marvel: Ultimate Alliance 2	Like New		usr612@gt.edu	Video Game		Xbox	Optical disc
4517	Bionicle: Quest for the Masks	Moderately Used	Upper Deck   	usr612@gt.edu	Collectible Card Game	570		
4518	kkrieger	Lightly Used	.theprodukkt	usr612@gt.edu	Computer Game		Windows	
4519	Battle Spirits 	Damaged/Missing parts	Bandai   	usr612@gt.edu	Collectible Card Game	430		
4520	Mass Effect	Damaged/Missing parts	Action RPG   BioWare	usr612@gt.edu	Video Game		Xbox	Cartridge
4521	Just Dance Kids	Like New		usr612@gt.edu	Video Game		PlayStation	Cartridge
4522	PGA European TourNA	Unopened		usr612@gt.edu	Video Game		Nintendo	Optical disc
4523	Babylon 5 Collectible Card Game 	Heavily Used	by Precedence Entertainment   	usr612@gt.edu	Collectible Card Game	282		
4524	Smite	Moderately Used	Hi-Rez Studios	usr612@gt.edu	Computer Game		Windows	
4525	Mike Piazza's Strike Zone	Damaged/Missing parts	Devil's Thumb Entertainment   GT Interactive	usr612@gt.edu	Video Game		Nintendo	Game card
4526	Monster Hunter Frontier G10	Lightly Used	Action role-playing, Expansion   Capcom	usr613@gt.edu	Video Game		Xbox	Cartridge
4527	Star Wars: Republic Commando	Heavily Used		usr613@gt.edu	Computer Game		macOS	
4528	Warcraft III: Reign of Chaos	Like New	Blizzard Entertainment	usr613@gt.edu	Computer Game		Windows	
4529	Major League Baseball 2K9	Lightly Used	Sports   Visual Concepts	usr613@gt.edu	Video Game		Xbox	Game card
4530	NintendoNA/PAL	Unopened		usr613@gt.edu	Video Game		Nintendo	Game card
4531	Acrophobia (game)	Moderately Used	Andrea Jennifer Shubert   Internet Relay Chat	usr613@gt.edu	Computer Game		Windows	
4532	Katawa Shoujo	Like New	Four Leaf Studios	usr613@gt.edu	Computer Game		macOS	
4533	Blitzkrieg	Damaged/Missing parts	Nival Interactive   CDV, 1C Company, Virtual Programming	usr613@gt.edu	Computer Game		macOS	
4534	Silent Hunter III	Moderately Used		usr613@gt.edu	Computer Game		Windows	
4535	Beam Breakers	Lightly Used	Similis Software GmbH   JoWooD Productions Software	usr613@gt.edu	Computer Game		macOS	
4536	Jikkyou Powerful Pro Yakyuu: Success Special	Like New	Konami   April 28, 2016	usr614@gt.edu	Video Game		PlayStation	Optical disc
4537	Katsuragi Misato Houdou Keikaku (app)	Unopened	Bandai Namco Games   June 6, 2009	usr614@gt.edu	Video Game		PlayStation	Optical disc
4538	Airscape: The Fall of Gravity	Damaged/Missing parts		usr614@gt.edu	Computer Game		macOS	
4539	Kentucky Route Zero	Heavily Used	Cardboard Computer	usr615@gt.edu	Computer Game		Windows	
4540	Uckers	Lightly Used	England  Two six-sided dice	usr615@gt.edu	Board Game			
4541	Middle-earth: Shadow of Mordor	Damaged/Missing parts	Action role-playing game   Monolith Productions	usr615@gt.edu	Video Game		Xbox	Cartridge
4542	Hyper Olympics in NaganoJP	Damaged/Missing parts	KCEO   Konami	usr615@gt.edu	Video Game		Nintendo	Cartridge
4543	A Girls Fabric Face	Damaged/Missing parts	Stanislaw Truchowskit   TurnVex	usr615@gt.edu	Computer Game		macOS	
4544	The Peloponnesian War	Unopened	Simulations Canada  1977	usr615@gt.edu	Board Game			
4545	Epic Battle Fantasy 2	Moderately Used	Matt Roszak   Kupo Games	usr615@gt.edu	Computer Game		macOS	
4546	Bakugan: Battle Brawlers (Trading Card Game)	Unopened		usr615@gt.edu	Collectible Card Game	327		
4547	Mission Impossible	Lightly Used		usr615@gt.edu	Video Game		Nintendo	Cartridge
4548	Age of Wonders III	Like New	Triumph Studios	usr615@gt.edu	Computer Game		Windows	
4549	Wizard in Training 	Like New	Upper Deck   	usr616@gt.edu	Collectible Card Game	310		
4550	Canasta (4 players)	Moderately Used	A game that became extremely popular in the 1950s, Canasta uses two standard decks, and is best in two-player partnerships	usr616@gt.edu	Playing Card Game			
4551	Election Quest Collectible Card Game 	Heavily Used	Bro! Novelties   	usr616@gt.edu	Collectible Card Game	483		
4552	Warhammer 40,000: Dawn of War II	Unopened	Relic Entertainment   THQ	usr616@gt.edu	Computer Game		macOS	
4553	Madden NFL 11	Like New	Sports   EA Tiburon	usr616@gt.edu	Video Game		Xbox	Optical disc
4554	Jeopardy! (2012)	Damaged/Missing parts	Pipeworks Software   Unreleased	usr617@gt.edu	Video Game		PlayStation	Game card
4555	Troy	Unopened	Chaosium  1977	usr617@gt.edu	Board Game			
4556	After...	Heavily Used	Ciel	usr617@gt.edu	Computer Game		Windows	
4557	Magic: The Gathering � Duels of the Planeswalkers	Heavily Used	Card & Board   Stainless Games	usr617@gt.edu	Video Game		Xbox	Cartridge
4558	After...	Heavily Used	Ciel	usr617@gt.edu	Computer Game		Windows	
4559	Edris A Jin	Like New	Syria and Lebanon  	usr617@gt.edu	Board Game			
4560	Dark Millennium	Like New	Sabertooth Games   	usr617@gt.edu	Collectible Card Game	123		
4561	Age of Booty	Damaged/Missing parts		usr617@gt.edu	Computer Game		Windows	
4562	The Peloponnesian War	Unopened	Victory Games  1991	usr617@gt.edu	Board Game			
4563	Pokemon Stadium Gold SilverJP	Moderately Used		usr617@gt.edu	Video Game		Nintendo	Game card
4564	3W	Moderately Used	1992  	usr618@gt.edu	Board Game			
4565	Adidas Power Soccer	Lightly Used	Psygnosis France   Psygnosis	usr618@gt.edu	Computer Game		Windows	
4566	Dragoborne: Rise to Supremacy	Damaged/Missing parts	Bushiroad Ltd.   	usr618@gt.edu	Collectible Card Game	576		
4567	Juju	Damaged/Missing parts		usr618@gt.edu	Video Game		PlayStation	Cartridge
4568	MLB Bobblehead Pros	Moderately Used	Sports & Recreation   Konami	usr618@gt.edu	Video Game		Xbox	Cartridge
4569	Battlefield 1942	Unopened	Digital Illusions CE   Electronic Arts	usr618@gt.edu	Computer Game		macOS	
4570	Monster Hunter Frontier G3	Lightly Used	Action role-playing, Expansion   Capcom	usr618@gt.edu	Video Game		Xbox	Cartridge
4571	Assassin's Creed II	Damaged/Missing parts	Ubisoft Montreal   Ubisoft	usr618@gt.edu	Computer Game		Linux	
4572	Club Penguin Trading Cards	Like New	Disney   	usr618@gt.edu	Collectible Card Game	522		
4573	Vortium 	Heavily Used		usr618@gt.edu	Collectible Card Game	169		
4574	Tempest of the Gods 	Damaged/Missing parts	Black Dragon Press   	usr618@gt.edu	Collectible Card Game	648		
4575	Hearts (3-7 players)	Like New		usr618@gt.edu	Playing Card Game			
4576	Magrunner: Dark Pulse	Like New	Action & Adventure   Frogwares	usr619@gt.edu	Video Game		Xbox	Optical disc
4577	Mighty No. 9	Lightly Used	Action & Adventure   Comcept/Inti Creates	usr619@gt.edu	Video Game		Xbox	Game card
4578	Madballs in Babo: Invasion	Lightly Used	Shooter   Playbrains	usr619@gt.edu	Video Game		Xbox	Optical disc
4579	Skat (3 players)	Moderately Used	This classic trick-taking game is the national card game of Germany. It features complex scoring and bidding, but is one of the best card games for three players	usr620@gt.edu	Playing Card Game			
4580	MicroBot	Damaged/Missing parts		usr620@gt.edu	Video Game		Xbox	Cartridge
4581	AdVenture Capitalist	Like New		usr620@gt.edu	Computer Game		macOS	
4582	Mega Man 9	Like New	Action & Adventure   Inti Creates/Capcom	usr620@gt.edu	Video Game		Xbox	Optical disc
4583	Blade Strangers	Damaged/Missing parts	Studio Saizensen   Nicalis	usr620@gt.edu	Computer Game		Linux	
4584	PlanetSide 2	Damaged/Missing parts	Sony Online Entertainment	usr620@gt.edu	Computer Game		Windows	
4585	Battleground 11: East Front	Like New		usr620@gt.edu	Computer Game		macOS	
4586	Empire: Total War	Like New	The Creative Assembly, Feral Interactive   Sega, Feral Interactive	usr620@gt.edu	Computer Game		Windows	
4587	Airscape: The Fall of Gravity	Lightly Used	Cross-Product	usr620@gt.edu	Computer Game		macOS	
4588	HumanKind 	Unopened	SALO   	usr620@gt.edu	Collectible Card Game	249		
4589	Age of Wonders: Shadow Magic	Heavily Used	Triumph Studios   Gathering of Developers	usr620@gt.edu	Computer Game		Windows	
4590	Asphalt 8: Airborne	Lightly Used		usr621@gt.edu	Computer Game		Windows	
4591	G.I. Joe Trading Card Game 	Moderately Used	Wizards of the Coast   	usr621@gt.edu	Collectible Card Game	131		
4592	Pocket Monsters Stadium	Lightly Used	Nintendo EAD   	usr621@gt.edu	Video Game		Nintendo	Optical disc
4593	John Daly's Prostroke Golf	Heavily Used	Gusto Games   	usr621@gt.edu	Video Game		PlayStation	Optical disc
4594	Age of Empires II: HD Edition	Damaged/Missing parts	Hidden Path Entertainment, Ensemble Studios   Microsoft Game Studios	usr621@gt.edu	Computer Game		macOS	
4595	Brothers in Arms: Hell's Highway	Lightly Used	Gearbox Software   Ubisoft	usr622@gt.edu	Computer Game		Windows	
4596	Cardfight!! Vanguard	Moderately Used	Bushiroad   	usr622@gt.edu	Collectible Card Game	147		
4597	Stormfront Studios	Moderately Used	EA Sports   Racing/Automobile	usr622@gt.edu	Video Game		Nintendo	Game card
4598	GT InteractivePAL	Unopened	Action/Beat 'em up   1997-12-08NA	usr622@gt.edu	Video Game		Nintendo	Optical disc
4599	Joe Danger	Unopened	Hello Games   January 26, 2012	usr623@gt.edu	Video Game		PlayStation	Optical disc
4600	Ogre Battle 64: Person of Lordly Caliber	Lightly Used	Quest Corporation   Atlus USANA	usr623@gt.edu	Video Game		Nintendo	Cartridge
4601	Marvel vs. Capcom Origins	Heavily Used	Fighting   Capcom/	usr623@gt.edu	Video Game		Xbox	Game card
4602	Battles of the Ancient World: Marathon & Granicus	Like New	Decision Games  2003	usr623@gt.edu	Board Game			
4603	War of the Roses	Moderately Used	Paradox Interactive   Fatshark	usr623@gt.edu	Computer Game		Linux	
4604	NBA In The Zone 2000	Like New		usr624@gt.edu	Video Game		Nintendo	Game card
4605	Prince of Persia: Warrior Within	Unopened	Ubisoft Montreal, Pipeworks Software, Gameloft   Ubisoft, Gameloft	usr624@gt.edu	Computer Game		macOS	
4606	Ken to Mahou to Gakuen Mono. 3 (Class of Heroes 3)	Unopened	Acquire   October 7, 2010	usr624@gt.edu	Video Game		PlayStation	Game card
4607	Jane's Advanced Strike Fighters	Lightly Used	Trickstar Games   	usr624@gt.edu	Video Game		PlayStation	Cartridge
4608	AD&D Masterpiece Collection	Damaged/Missing parts	Strategic Simulations	usr624@gt.edu	Computer Game		Windows	
4609	Berserk 	Unopened	Fantasy World Inc./Hobby World   	usr624@gt.edu	Collectible Card Game	163		
4610	NASCAR '99	Moderately Used	EA Sports   	usr624@gt.edu	Video Game		Nintendo	Optical disc
4611	Madden NFL 17	Unopened	Sports   EA Tiburon	usr624@gt.edu	Video Game		Xbox	Game card
4612	Stronghold	Moderately Used	Firefly Studios, MacSoft   Take 2 Interactive, God Games	usr624@gt.edu	Computer Game		Windows	
4613	President (3-16 players)	Like New	"Classically known as ""Chairman,"" ""Scum,"", and fun for groups, this is an easy introduction to the family of climbing games"	usr625@gt.edu	Playing Card Game			
4614	Pokemon Stadium 2JP	Moderately Used	Nintendo EAD   	usr625@gt.edu	Video Game		Nintendo	Optical disc
4615	Bleach Soul Card Battle	Like New		usr625@gt.edu	Collectible Card Game	63		
4616	Fullmetal Alchemist Trading Card Game 	Damaged/Missing parts		usr625@gt.edu	Collectible Card Game	140		
4617	Alan Wake	Lightly Used	Remedy Entertainment   Microsoft Game Studios, Remedy Entertainment, Nordic Games, E Frontier	usr626@gt.edu	Computer Game		macOS	
4618	The Conquerors: Alexander the Great	Damaged/Missing parts	GMT Games  2006	usr626@gt.edu	Board Game			
4619	Final Fantasy Trading Card Game 	Lightly Used	Hobby Japan/Last Level/Square Enix/Neo Productions Unlimited   	usr626@gt.edu	Collectible Card Game	472		
4620	SpaceChem	Moderately Used	Zachtronics Industries	usr626@gt.edu	Computer Game		Linux	
4621	Ketsui: Kizuna Jigoku Tachi Extra	Like New	5pb.   July 25, 2013	usr626@gt.edu	Video Game		PlayStation	Game card
4622	AssaultCube (AC)	Like New		usr626@gt.edu	Computer Game		macOS	
4623	Monster Hunter Frontier G8	Lightly Used	Action role-playing, Expansion   Capcom	usr626@gt.edu	Video Game		Xbox	Game card
4624	Madden NFL 06	Unopened		usr626@gt.edu	Video Game		Xbox	Game card
4625	A Bloody Night	Heavily Used		usr626@gt.edu	Computer Game		Windows	
4626	Mercury Hg	Like New		usr626@gt.edu	Video Game		Xbox	Optical disc
4627	NFL Quarterback Club 98	Lightly Used	Iguana Entertainment   Acclaim Sports	usr626@gt.edu	Video Game		Nintendo	Game card
4628	A dragon girl looks up at the endless sky	Heavily Used	DebonosuWorks Inc.	usr627@gt.edu	Computer Game		macOS	
4629	Polaris SnoCross	Damaged/Missing parts	Vicarious Visions   Vatical Entertainment	usr627@gt.edu	Video Game		Nintendo	Game card
4630	Mass Effect	Moderately Used		usr627@gt.edu	Video Game		Xbox	Cartridge
4631	Surf's Up	Unopened	Ubisoft Montreal, Ubisoft Quebec, Totally Games   Ubisoft, Sony Computer Entertainment America	usr627@gt.edu	Computer Game		Windows	
4632	Silent Hunter III	Damaged/Missing parts	Ubisoft Bucharest   Ubisoft	usr627@gt.edu	Computer Game		Windows	
4633	Parchis	Moderately Used	Spain  Single six-sided die	usr627@gt.edu	Board Game			
4634	Mark of the Ninja	Damaged/Missing parts		usr627@gt.edu	Video Game		Xbox	Cartridge
4635	Patolli	Lightly Used	Mesoamerica  Five or six thrown marked black beans	usr628@gt.edu	Board Game			
4636	Minecraft: Story Mode	Unopened	Graphic adventure & interactive movie   Telltale Games	usr628@gt.edu	Video Game		Xbox	Optical disc
4637	German Whist (2 players)	Damaged/Missing parts	An excellent Whist style game for two players. Each player has a hand of 13 cards, and the first phase involves each person playing a card in order to compete for the face up card from the top of the stock (the very first card shown is the trump suit); the winner gets that card, the loser gets the next face-down card	usr628@gt.edu	Playing Card Game			
4638	Hayate the Combat Butler TCG 	Like New		usr628@gt.edu	Collectible Card Game	677		
4639	Terror 	Moderately Used	Kris Silver   	usr628@gt.edu	Collectible Card Game	42		
4640	Allegiance: War of Factions	Damaged/Missing parts	an out-of-print social and political collectible card game set in a medieval city-state undergoing political turmoil   	usr628@gt.edu	Collectible Card Game	361		
