proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,auto_trade_id
3833,6097,usr517@gt.edu,usr819@gt.edu,2022-05-12,2022-06-07,rejected,proposer_emailusr517@gt.educounterparty_emailusr819@gt.eduproposer_item_no3833counterparty_item_no6097
3837,5597,usr518@gt.edu,usr753@gt.edu,2022-04-21,NULL,unaccepted,proposer_emailusr518@gt.educounterparty_emailusr753@gt.eduproposer_item_no3837counterparty_item_no5597
3839,4512,usr518@gt.edu,usr611@gt.edu,2022-05-13,2022-05-27,rejected,proposer_emailusr518@gt.educounterparty_emailusr611@gt.eduproposer_item_no3839counterparty_item_no4512
3842,2295,usr518@gt.edu,usr311@gt.edu,2022-05-19,2022-05-30,accepted,proposer_emailusr518@gt.educounterparty_emailusr311@gt.eduproposer_item_no3842counterparty_item_no2295
3843,3756,usr518@gt.edu,usr510@gt.edu,2022-04-18,2022-04-19,accepted,proposer_emailusr518@gt.educounterparty_emailusr510@gt.eduproposer_item_no3843counterparty_item_no3756
3845,631,usr519@gt.edu,usr086@gt.edu,2022-05-26,NULL,unaccepted,proposer_emailusr519@gt.educounterparty_emailusr086@gt.eduproposer_item_no3845counterparty_item_no631
3847,4907,usr519@gt.edu,usr662@gt.edu,2022-04-22,2022-05-25,accepted,proposer_emailusr519@gt.educounterparty_emailusr662@gt.eduproposer_item_no3847counterparty_item_no4907
3848,659,usr519@gt.edu,usr088@gt.edu,2022-04-19,2022-04-29,rejected,proposer_emailusr519@gt.educounterparty_emailusr088@gt.eduproposer_item_no3848counterparty_item_no659
3848,4069,usr519@gt.edu,usr550@gt.edu,2022-05-13,NULL,unaccepted,proposer_emailusr519@gt.educounterparty_emailusr550@gt.eduproposer_item_no3848counterparty_item_no4069
3849,5545,usr519@gt.edu,usr746@gt.edu,2022-04-20,2022-05-18,rejected,proposer_emailusr519@gt.educounterparty_emailusr746@gt.eduproposer_item_no3849counterparty_item_no5545
3852,345,usr520@gt.edu,usr049@gt.edu,2022-04-20,2022-04-21,accepted,proposer_emailusr520@gt.educounterparty_emailusr049@gt.eduproposer_item_no3852counterparty_item_no345
3853,4220,usr520@gt.edu,usr570@gt.edu,2022-04-29,2022-06-07,rejected,proposer_emailusr520@gt.educounterparty_emailusr570@gt.eduproposer_item_no3853counterparty_item_no4220
3857,1603,usr520@gt.edu,usr213@gt.edu,2022-04-26,2022-05-02,accepted,proposer_emailusr520@gt.educounterparty_emailusr213@gt.eduproposer_item_no3857counterparty_item_no1603
3859,5012,usr521@gt.edu,usr677@gt.edu,2022-05-13,2022-05-17,accepted,proposer_emailusr521@gt.educounterparty_emailusr677@gt.eduproposer_item_no3859counterparty_item_no5012
3860,4174,usr521@gt.edu,usr564@gt.edu,2022-04-25,2022-05-12,accepted,proposer_emailusr521@gt.educounterparty_emailusr564@gt.eduproposer_item_no3860counterparty_item_no4174
3861,4628,usr521@gt.edu,usr627@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr521@gt.educounterparty_emailusr627@gt.eduproposer_item_no3861counterparty_item_no4628
3862,6100,usr522@gt.edu,usr819@gt.edu,2022-04-22,NULL,unaccepted,proposer_emailusr522@gt.educounterparty_emailusr819@gt.eduproposer_item_no3862counterparty_item_no6100
3866,6211,usr523@gt.edu,usr835@gt.edu,2022-04-25,NULL,unaccepted,proposer_emailusr523@gt.educounterparty_emailusr835@gt.eduproposer_item_no3866counterparty_item_no6211
3867,1199,usr523@gt.edu,usr161@gt.edu,2022-05-30,2022-06-06,accepted,proposer_emailusr523@gt.educounterparty_emailusr161@gt.eduproposer_item_no3867counterparty_item_no1199
3869,6848,usr523@gt.edu,usr925@gt.edu,2022-04-21,2022-04-28,accepted,proposer_emailusr523@gt.educounterparty_emailusr925@gt.eduproposer_item_no3869counterparty_item_no6848
3871,1859,usr523@gt.edu,usr248@gt.edu,2022-04-18,2022-05-03,rejected,proposer_emailusr523@gt.educounterparty_emailusr248@gt.eduproposer_item_no3871counterparty_item_no1859
3871,4761,usr523@gt.edu,usr645@gt.edu,2022-05-20,2022-06-14,accepted,proposer_emailusr523@gt.educounterparty_emailusr645@gt.eduproposer_item_no3871counterparty_item_no4761
3874,1945,usr523@gt.edu,usr261@gt.edu,2022-04-26,2022-05-12,accepted,proposer_emailusr523@gt.educounterparty_emailusr261@gt.eduproposer_item_no3874counterparty_item_no1945
3877,5104,usr524@gt.edu,usr688@gt.edu,2022-04-18,2022-05-17,accepted,proposer_emailusr524@gt.educounterparty_emailusr688@gt.eduproposer_item_no3877counterparty_item_no5104
3878,4237,usr524@gt.edu,usr573@gt.edu,2022-05-26,2022-05-30,accepted,proposer_emailusr524@gt.educounterparty_emailusr573@gt.eduproposer_item_no3878counterparty_item_no4237
3879,3595,usr524@gt.edu,usr488@gt.edu,2022-04-29,2022-05-31,accepted,proposer_emailusr524@gt.educounterparty_emailusr488@gt.eduproposer_item_no3879counterparty_item_no3595
3881,2183,usr524@gt.edu,usr294@gt.edu,2022-05-24,2022-06-07,rejected,proposer_emailusr524@gt.educounterparty_emailusr294@gt.eduproposer_item_no3881counterparty_item_no2183
3884,57,usr524@gt.edu,usr008@gt.edu,2022-05-04,NULL,unaccepted,proposer_emailusr524@gt.educounterparty_emailusr008@gt.eduproposer_item_no3884counterparty_item_no57
3887,6530,usr525@gt.edu,usr881@gt.edu,2022-06-02,NULL,unaccepted,proposer_emailusr525@gt.educounterparty_emailusr881@gt.eduproposer_item_no3887counterparty_item_no6530
3888,4288,usr525@gt.edu,usr579@gt.edu,2022-04-15,2022-05-04,accepted,proposer_emailusr525@gt.educounterparty_emailusr579@gt.eduproposer_item_no3888counterparty_item_no4288
3889,5242,usr525@gt.edu,usr709@gt.edu,2022-04-25,2022-04-26,accepted,proposer_emailusr525@gt.educounterparty_emailusr709@gt.eduproposer_item_no3889counterparty_item_no5242
3890,1459,usr525@gt.edu,usr196@gt.edu,2022-04-29,2022-05-18,accepted,proposer_emailusr525@gt.educounterparty_emailusr196@gt.eduproposer_item_no3890counterparty_item_no1459
3893,4687,usr526@gt.edu,usr635@gt.edu,2022-04-20,2022-05-10,accepted,proposer_emailusr526@gt.educounterparty_emailusr635@gt.eduproposer_item_no3893counterparty_item_no4687
3896,3026,usr526@gt.edu,usr404@gt.edu,2022-04-15,2022-04-18,accepted,proposer_emailusr526@gt.educounterparty_emailusr404@gt.eduproposer_item_no3896counterparty_item_no3026
3897,7290,usr526@gt.edu,usr982@gt.edu,2022-04-19,2022-05-12,accepted,proposer_emailusr526@gt.educounterparty_emailusr982@gt.eduproposer_item_no3897counterparty_item_no7290
3910,7298,usr528@gt.edu,usr984@gt.edu,2022-04-26,2022-05-27,accepted,proposer_emailusr528@gt.educounterparty_emailusr984@gt.eduproposer_item_no3910counterparty_item_no7298
3913,3993,usr528@gt.edu,usr538@gt.edu,2022-05-11,2022-05-26,rejected,proposer_emailusr528@gt.educounterparty_emailusr538@gt.eduproposer_item_no3913counterparty_item_no3993
3914,3543,usr528@gt.edu,usr481@gt.edu,2022-04-28,2022-05-23,accepted,proposer_emailusr528@gt.educounterparty_emailusr481@gt.eduproposer_item_no3914counterparty_item_no3543
3915,1004,usr528@gt.edu,usr135@gt.edu,2022-04-19,NULL,unaccepted,proposer_emailusr528@gt.educounterparty_emailusr135@gt.eduproposer_item_no3915counterparty_item_no1004
3919,3967,usr528@gt.edu,usr534@gt.edu,2022-05-12,NULL,unaccepted,proposer_emailusr528@gt.educounterparty_emailusr534@gt.eduproposer_item_no3919counterparty_item_no3967
3919,5769,usr528@gt.edu,usr776@gt.edu,2022-04-20,2022-05-11,rejected,proposer_emailusr528@gt.educounterparty_emailusr776@gt.eduproposer_item_no3919counterparty_item_no5769
3920,6000,usr529@gt.edu,usr806@gt.edu,2022-04-21,2022-05-06,accepted,proposer_emailusr529@gt.educounterparty_emailusr806@gt.eduproposer_item_no3920counterparty_item_no6000
3921,6222,usr529@gt.edu,usr836@gt.edu,2022-04-19,2022-05-12,rejected,proposer_emailusr529@gt.educounterparty_emailusr836@gt.eduproposer_item_no3921counterparty_item_no6222
3925,435,usr529@gt.edu,usr059@gt.edu,2022-06-07,NULL,unaccepted,proposer_emailusr529@gt.educounterparty_emailusr059@gt.eduproposer_item_no3925counterparty_item_no435
3926,4154,usr529@gt.edu,usr562@gt.edu,2022-04-15,2022-06-06,accepted,proposer_emailusr529@gt.educounterparty_emailusr562@gt.eduproposer_item_no3926counterparty_item_no4154
3927,6496,usr529@gt.edu,usr876@gt.edu,2022-04-26,NULL,unaccepted,proposer_emailusr529@gt.educounterparty_emailusr876@gt.eduproposer_item_no3927counterparty_item_no6496
3930,4432,usr530@gt.edu,usr601@gt.edu,2022-04-20,NULL,unaccepted,proposer_emailusr530@gt.educounterparty_emailusr601@gt.eduproposer_item_no3930counterparty_item_no4432
3932,6718,usr530@gt.edu,usr905@gt.edu,2022-05-20,NULL,unaccepted,proposer_emailusr530@gt.educounterparty_emailusr905@gt.eduproposer_item_no3932counterparty_item_no6718
3933,7337,usr530@gt.edu,usr989@gt.edu,2022-04-26,2022-05-17,accepted,proposer_emailusr530@gt.educounterparty_emailusr989@gt.eduproposer_item_no3933counterparty_item_no7337
3936,2141,usr531@gt.edu,usr286@gt.edu,2022-05-02,NULL,unaccepted,proposer_emailusr531@gt.educounterparty_emailusr286@gt.eduproposer_item_no3936counterparty_item_no2141
3938,4223,usr531@gt.edu,usr571@gt.edu,2022-04-25,NULL,unaccepted,proposer_emailusr531@gt.educounterparty_emailusr571@gt.eduproposer_item_no3938counterparty_item_no4223
3940,829,usr531@gt.edu,usr109@gt.edu,2022-04-15,2022-05-11,rejected,proposer_emailusr531@gt.educounterparty_emailusr109@gt.eduproposer_item_no3940counterparty_item_no829
3940,2986,usr531@gt.edu,usr398@gt.edu,2022-05-30,NULL,unaccepted,proposer_emailusr531@gt.educounterparty_emailusr398@gt.eduproposer_item_no3940counterparty_item_no2986
3942,2951,usr531@gt.edu,usr395@gt.edu,2022-05-25,NULL,unaccepted,proposer_emailusr531@gt.educounterparty_emailusr395@gt.eduproposer_item_no3942counterparty_item_no2951
3945,3101,usr531@gt.edu,usr413@gt.edu,2022-04-20,2022-04-29,accepted,proposer_emailusr531@gt.educounterparty_emailusr413@gt.eduproposer_item_no3945counterparty_item_no3101
3947,539,usr532@gt.edu,usr075@gt.edu,2022-04-21,2022-05-11,accepted,proposer_emailusr532@gt.educounterparty_emailusr075@gt.eduproposer_item_no3947counterparty_item_no539
3948,4499,usr532@gt.edu,usr610@gt.edu,2022-04-28,2022-05-30,accepted,proposer_emailusr532@gt.educounterparty_emailusr610@gt.eduproposer_item_no3948counterparty_item_no4499
3949,1982,usr532@gt.edu,usr265@gt.edu,2022-05-30,2022-06-02,rejected,proposer_emailusr532@gt.educounterparty_emailusr265@gt.eduproposer_item_no3949counterparty_item_no1982
3951,44,usr532@gt.edu,usr007@gt.edu,2022-04-22,2022-04-25,rejected,proposer_emailusr532@gt.educounterparty_emailusr007@gt.eduproposer_item_no3951counterparty_item_no44
3953,100,usr533@gt.edu,usr014@gt.edu,2022-04-22,2022-05-10,accepted,proposer_emailusr533@gt.educounterparty_emailusr014@gt.eduproposer_item_no3953counterparty_item_no100
3954,894,usr533@gt.edu,usr118@gt.edu,2022-05-10,2022-05-16,accepted,proposer_emailusr533@gt.educounterparty_emailusr118@gt.eduproposer_item_no3954counterparty_item_no894
3955,3806,usr533@gt.edu,usr515@gt.edu,2022-04-15,2022-04-29,rejected,proposer_emailusr533@gt.educounterparty_emailusr515@gt.eduproposer_item_no3955counterparty_item_no3806
3958,5526,usr534@gt.edu,usr744@gt.edu,2022-05-13,NULL,unaccepted,proposer_emailusr534@gt.educounterparty_emailusr744@gt.eduproposer_item_no3958counterparty_item_no5526
3959,2855,usr534@gt.edu,usr384@gt.edu,2022-04-19,2022-05-03,accepted,proposer_emailusr534@gt.educounterparty_emailusr384@gt.eduproposer_item_no3959counterparty_item_no2855
3961,574,usr534@gt.edu,usr080@gt.edu,2022-04-15,2022-05-05,accepted,proposer_emailusr534@gt.educounterparty_emailusr080@gt.eduproposer_item_no3961counterparty_item_no574
3962,5282,usr534@gt.edu,usr714@gt.edu,2022-04-22,2022-04-29,rejected,proposer_emailusr534@gt.educounterparty_emailusr714@gt.eduproposer_item_no3962counterparty_item_no5282
3965,263,usr534@gt.edu,usr038@gt.edu,2022-05-23,2022-05-24,accepted,proposer_emailusr534@gt.educounterparty_emailusr038@gt.eduproposer_item_no3965counterparty_item_no263
3969,177,usr535@gt.edu,usr026@gt.edu,2022-05-10,NULL,unaccepted,proposer_emailusr535@gt.educounterparty_emailusr026@gt.eduproposer_item_no3969counterparty_item_no177
3970,834,usr535@gt.edu,usr110@gt.edu,2022-05-03,2022-06-13,accepted,proposer_emailusr535@gt.educounterparty_emailusr110@gt.eduproposer_item_no3970counterparty_item_no834
3970,4445,usr535@gt.edu,usr602@gt.edu,2022-04-20,2022-04-26,rejected,proposer_emailusr535@gt.educounterparty_emailusr602@gt.eduproposer_item_no3970counterparty_item_no4445
3972,6060,usr535@gt.edu,usr813@gt.edu,2022-05-31,NULL,unaccepted,proposer_emailusr535@gt.educounterparty_emailusr813@gt.eduproposer_item_no3972counterparty_item_no6060
3974,302,usr535@gt.edu,usr044@gt.edu,2022-04-27,2022-05-12,rejected,proposer_emailusr535@gt.educounterparty_emailusr044@gt.eduproposer_item_no3974counterparty_item_no302
3974,2396,usr535@gt.edu,usr323@gt.edu,2022-05-25,NULL,unaccepted,proposer_emailusr535@gt.educounterparty_emailusr323@gt.eduproposer_item_no3974counterparty_item_no2396
3977,5980,usr536@gt.edu,usr803@gt.edu,2022-05-09,2022-05-12,accepted,proposer_emailusr536@gt.educounterparty_emailusr803@gt.eduproposer_item_no3977counterparty_item_no5980
3980,6293,usr536@gt.edu,usr845@gt.edu,2022-04-21,2022-05-13,accepted,proposer_emailusr536@gt.educounterparty_emailusr845@gt.eduproposer_item_no3980counterparty_item_no6293
3982,5236,usr537@gt.edu,usr708@gt.edu,2022-04-28,2022-05-17,accepted,proposer_emailusr537@gt.educounterparty_emailusr708@gt.eduproposer_item_no3982counterparty_item_no5236
3984,7286,usr537@gt.edu,usr982@gt.edu,2022-04-25,2022-05-02,accepted,proposer_emailusr537@gt.educounterparty_emailusr982@gt.eduproposer_item_no3984counterparty_item_no7286
3985,4176,usr537@gt.edu,usr564@gt.edu,2022-04-20,2022-05-20,accepted,proposer_emailusr537@gt.educounterparty_emailusr564@gt.eduproposer_item_no3985counterparty_item_no4176
3986,3364,usr537@gt.edu,usr454@gt.edu,2022-04-15,2022-05-16,rejected,proposer_emailusr537@gt.educounterparty_emailusr454@gt.eduproposer_item_no3986counterparty_item_no3364
3986,4688,usr537@gt.edu,usr635@gt.edu,2022-06-09,NULL,unaccepted,proposer_emailusr537@gt.educounterparty_emailusr635@gt.eduproposer_item_no3986counterparty_item_no4688
3988,3773,usr538@gt.edu,usr511@gt.edu,2022-05-02,2022-06-14,accepted,proposer_emailusr538@gt.educounterparty_emailusr511@gt.eduproposer_item_no3988counterparty_item_no3773
3989,3203,usr538@gt.edu,usr429@gt.edu,2022-04-25,2022-05-06,rejected,proposer_emailusr538@gt.educounterparty_emailusr429@gt.eduproposer_item_no3989counterparty_item_no3203
3990,5653,usr538@gt.edu,usr759@gt.edu,2022-04-20,2022-04-21,accepted,proposer_emailusr538@gt.educounterparty_emailusr759@gt.eduproposer_item_no3990counterparty_item_no5653
3995,3184,usr538@gt.edu,usr427@gt.edu,2022-04-26,NULL,unaccepted,proposer_emailusr538@gt.educounterparty_emailusr427@gt.eduproposer_item_no3995counterparty_item_no3184
3996,5355,usr538@gt.edu,usr724@gt.edu,2022-06-07,2022-06-13,accepted,proposer_emailusr538@gt.educounterparty_emailusr724@gt.eduproposer_item_no3996counterparty_item_no5355
3998,3106,usr539@gt.edu,usr414@gt.edu,2022-05-04,2022-05-05,accepted,proposer_emailusr539@gt.educounterparty_emailusr414@gt.eduproposer_item_no3998counterparty_item_no3106
3999,6035,usr539@gt.edu,usr811@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr539@gt.educounterparty_emailusr811@gt.eduproposer_item_no3999counterparty_item_no6035
4000,5618,usr539@gt.edu,usr756@gt.edu,2022-04-29,NULL,unaccepted,proposer_emailusr539@gt.educounterparty_emailusr756@gt.eduproposer_item_no4000counterparty_item_no5618
4004,5224,usr540@gt.edu,usr707@gt.edu,2022-05-10,2022-05-16,rejected,proposer_emailusr540@gt.educounterparty_emailusr707@gt.eduproposer_item_no4004counterparty_item_no5224
4005,127,usr540@gt.edu,usr018@gt.edu,2022-04-26,NULL,unaccepted,proposer_emailusr540@gt.educounterparty_emailusr018@gt.eduproposer_item_no4005counterparty_item_no127
4006,2849,usr540@gt.edu,usr383@gt.edu,2022-05-13,2022-05-23,accepted,proposer_emailusr540@gt.educounterparty_emailusr383@gt.eduproposer_item_no4006counterparty_item_no2849
4010,7219,usr540@gt.edu,usr974@gt.edu,2022-06-01,NULL,unaccepted,proposer_emailusr540@gt.educounterparty_emailusr974@gt.eduproposer_item_no4010counterparty_item_no7219
4013,6841,usr541@gt.edu,usr925@gt.edu,2022-04-15,2022-06-03,rejected,proposer_emailusr541@gt.educounterparty_emailusr925@gt.eduproposer_item_no4013counterparty_item_no6841
4015,3680,usr541@gt.edu,usr500@gt.edu,2022-06-07,NULL,unaccepted,proposer_emailusr541@gt.educounterparty_emailusr500@gt.eduproposer_item_no4015counterparty_item_no3680
4016,4821,usr542@gt.edu,usr651@gt.edu,2022-04-15,2022-05-10,accepted,proposer_emailusr542@gt.educounterparty_emailusr651@gt.eduproposer_item_no4016counterparty_item_no4821
4019,3627,usr543@gt.edu,usr493@gt.edu,2022-04-22,2022-05-31,rejected,proposer_emailusr543@gt.educounterparty_emailusr493@gt.eduproposer_item_no4019counterparty_item_no3627
4020,2129,usr543@gt.edu,usr285@gt.edu,2022-04-27,2022-05-02,accepted,proposer_emailusr543@gt.educounterparty_emailusr285@gt.eduproposer_item_no4020counterparty_item_no2129
4021,3973,usr543@gt.edu,usr535@gt.edu,2022-04-15,NULL,unaccepted,proposer_emailusr543@gt.educounterparty_emailusr535@gt.eduproposer_item_no4021counterparty_item_no3973
4023,589,usr544@gt.edu,usr081@gt.edu,2022-05-13,2022-06-02,accepted,proposer_emailusr544@gt.educounterparty_emailusr081@gt.eduproposer_item_no4023counterparty_item_no589
4025,3034,usr544@gt.edu,usr404@gt.edu,2022-04-28,2022-05-06,rejected,proposer_emailusr544@gt.educounterparty_emailusr404@gt.eduproposer_item_no4025counterparty_item_no3034
4027,3084,usr544@gt.edu,usr411@gt.edu,2022-05-16,2022-06-06,accepted,proposer_emailusr544@gt.educounterparty_emailusr411@gt.eduproposer_item_no4027counterparty_item_no3084
4028,623,usr544@gt.edu,usr085@gt.edu,2022-06-03,NULL,unaccepted,proposer_emailusr544@gt.educounterparty_emailusr085@gt.eduproposer_item_no4028counterparty_item_no623
4028,4487,usr544@gt.edu,usr608@gt.edu,2022-04-21,2022-05-24,rejected,proposer_emailusr544@gt.educounterparty_emailusr608@gt.eduproposer_item_no4028counterparty_item_no4487
4032,5918,usr545@gt.edu,usr796@gt.edu,2022-04-21,NULL,unaccepted,proposer_emailusr545@gt.educounterparty_emailusr796@gt.eduproposer_item_no4032counterparty_item_no5918
4033,1022,usr545@gt.edu,usr138@gt.edu,2022-04-20,2022-06-03,rejected,proposer_emailusr545@gt.educounterparty_emailusr138@gt.eduproposer_item_no4033counterparty_item_no1022
4033,3724,usr545@gt.edu,usr506@gt.edu,2022-06-07,2022-06-13,accepted,proposer_emailusr545@gt.educounterparty_emailusr506@gt.eduproposer_item_no4033counterparty_item_no3724
4034,2985,usr545@gt.edu,usr398@gt.edu,2022-04-26,2022-05-30,rejected,proposer_emailusr545@gt.educounterparty_emailusr398@gt.eduproposer_item_no4034counterparty_item_no2985
4035,1154,usr545@gt.edu,usr157@gt.edu,2022-04-22,2022-05-17,rejected,proposer_emailusr545@gt.educounterparty_emailusr157@gt.eduproposer_item_no4035counterparty_item_no1154
4036,2307,usr545@gt.edu,usr312@gt.edu,2022-06-01,NULL,unaccepted,proposer_emailusr545@gt.educounterparty_emailusr312@gt.eduproposer_item_no4036counterparty_item_no2307
4038,972,usr546@gt.edu,usr131@gt.edu,2022-04-27,2022-05-20,accepted,proposer_emailusr546@gt.educounterparty_emailusr131@gt.eduproposer_item_no4038counterparty_item_no972
4039,5682,usr546@gt.edu,usr764@gt.edu,2022-05-27,2022-06-08,accepted,proposer_emailusr546@gt.educounterparty_emailusr764@gt.eduproposer_item_no4039counterparty_item_no5682
4041,6433,usr546@gt.edu,usr867@gt.edu,2022-04-15,2022-05-03,accepted,proposer_emailusr546@gt.educounterparty_emailusr867@gt.eduproposer_item_no4041counterparty_item_no6433
4042,5682,usr546@gt.edu,usr764@gt.edu,2022-04-18,2022-05-03,rejected,proposer_emailusr546@gt.educounterparty_emailusr764@gt.eduproposer_item_no4042counterparty_item_no5682
4049,2388,usr547@gt.edu,usr322@gt.edu,2022-05-25,2022-05-30,accepted,proposer_emailusr547@gt.educounterparty_emailusr322@gt.eduproposer_item_no4049counterparty_item_no2388
4049,2884,usr547@gt.edu,usr387@gt.edu,2022-04-29,2022-05-11,rejected,proposer_emailusr547@gt.educounterparty_emailusr387@gt.eduproposer_item_no4049counterparty_item_no2884
4050,2446,usr547@gt.edu,usr331@gt.edu,2022-04-26,2022-05-20,accepted,proposer_emailusr547@gt.educounterparty_emailusr331@gt.eduproposer_item_no4050counterparty_item_no2446
4051,783,usr547@gt.edu,usr103@gt.edu,2022-05-30,2022-06-02,rejected,proposer_emailusr547@gt.educounterparty_emailusr103@gt.eduproposer_item_no4051counterparty_item_no783
4052,5558,usr547@gt.edu,usr748@gt.edu,2022-05-26,2022-06-06,accepted,proposer_emailusr547@gt.educounterparty_emailusr748@gt.eduproposer_item_no4052counterparty_item_no5558
4054,2218,usr548@gt.edu,usr298@gt.edu,2022-04-21,2022-05-02,accepted,proposer_emailusr548@gt.educounterparty_emailusr298@gt.eduproposer_item_no4054counterparty_item_no2218
4055,3014,usr548@gt.edu,usr403@gt.edu,2022-04-19,2022-06-06,rejected,proposer_emailusr548@gt.educounterparty_emailusr403@gt.eduproposer_item_no4055counterparty_item_no3014
4056,6305,usr548@gt.edu,usr848@gt.edu,2022-04-25,2022-04-26,accepted,proposer_emailusr548@gt.educounterparty_emailusr848@gt.eduproposer_item_no4056counterparty_item_no6305
4062,5973,usr549@gt.edu,usr803@gt.edu,2022-05-12,NULL,unaccepted,proposer_emailusr549@gt.educounterparty_emailusr803@gt.eduproposer_item_no4062counterparty_item_no5973
4065,5352,usr549@gt.edu,usr723@gt.edu,2022-05-30,NULL,unaccepted,proposer_emailusr549@gt.educounterparty_emailusr723@gt.eduproposer_item_no4065counterparty_item_no5352
4070,6641,usr550@gt.edu,usr895@gt.edu,2022-04-15,2022-05-05,accepted,proposer_emailusr550@gt.educounterparty_emailusr895@gt.eduproposer_item_no4070counterparty_item_no6641
4074,1430,usr550@gt.edu,usr193@gt.edu,2022-06-10,NULL,unaccepted,proposer_emailusr550@gt.educounterparty_emailusr193@gt.eduproposer_item_no4074counterparty_item_no1430
4076,5741,usr551@gt.edu,usr772@gt.edu,2022-04-18,2022-04-19,accepted,proposer_emailusr551@gt.educounterparty_emailusr772@gt.eduproposer_item_no4076counterparty_item_no5741
4077,2675,usr551@gt.edu,usr361@gt.edu,2022-05-02,NULL,unaccepted,proposer_emailusr551@gt.educounterparty_emailusr361@gt.eduproposer_item_no4077counterparty_item_no2675
4080,4646,usr551@gt.edu,usr629@gt.edu,2022-05-20,2022-05-26,rejected,proposer_emailusr551@gt.educounterparty_emailusr629@gt.eduproposer_item_no4080counterparty_item_no4646
4082,2533,usr551@gt.edu,usr343@gt.edu,2022-04-15,2022-05-06,accepted,proposer_emailusr551@gt.educounterparty_emailusr343@gt.eduproposer_item_no4082counterparty_item_no2533
4083,5294,usr552@gt.edu,usr715@gt.edu,2022-05-02,NULL,unaccepted,proposer_emailusr552@gt.educounterparty_emailusr715@gt.eduproposer_item_no4083counterparty_item_no5294
4089,1231,usr552@gt.edu,usr165@gt.edu,2022-04-18,2022-05-24,accepted,proposer_emailusr552@gt.educounterparty_emailusr165@gt.eduproposer_item_no4089counterparty_item_no1231
4090,3851,usr552@gt.edu,usr519@gt.edu,2022-04-15,2022-04-21,accepted,proposer_emailusr552@gt.educounterparty_emailusr519@gt.eduproposer_item_no4090counterparty_item_no3851
4091,3028,usr553@gt.edu,usr404@gt.edu,2022-06-08,NULL,unaccepted,proposer_emailusr553@gt.educounterparty_emailusr404@gt.eduproposer_item_no4091counterparty_item_no3028
4092,6484,usr553@gt.edu,usr874@gt.edu,2022-04-22,2022-04-25,accepted,proposer_emailusr553@gt.educounterparty_emailusr874@gt.eduproposer_item_no4092counterparty_item_no6484
4093,1056,usr553@gt.edu,usr143@gt.edu,2022-04-19,2022-04-27,rejected,proposer_emailusr553@gt.educounterparty_emailusr143@gt.eduproposer_item_no4093counterparty_item_no1056
4093,4855,usr553@gt.edu,usr655@gt.edu,2022-05-31,NULL,unaccepted,proposer_emailusr553@gt.educounterparty_emailusr655@gt.eduproposer_item_no4093counterparty_item_no4855
4095,5560,usr553@gt.edu,usr748@gt.edu,2022-04-21,2022-04-27,accepted,proposer_emailusr553@gt.educounterparty_emailusr748@gt.eduproposer_item_no4095counterparty_item_no5560
4096,2112,usr553@gt.edu,usr283@gt.edu,2022-04-20,NULL,unaccepted,proposer_emailusr553@gt.educounterparty_emailusr283@gt.eduproposer_item_no4096counterparty_item_no2112
4098,3090,usr553@gt.edu,usr412@gt.edu,2022-04-18,2022-05-25,accepted,proposer_emailusr553@gt.educounterparty_emailusr412@gt.eduproposer_item_no4098counterparty_item_no3090
4100,6555,usr554@gt.edu,usr883@gt.edu,2022-04-27,2022-06-02,rejected,proposer_emailusr554@gt.educounterparty_emailusr883@gt.eduproposer_item_no4100counterparty_item_no6555
4101,1312,usr554@gt.edu,usr178@gt.edu,2022-06-08,NULL,unaccepted,proposer_emailusr554@gt.educounterparty_emailusr178@gt.eduproposer_item_no4101counterparty_item_no1312
4107,7180,usr554@gt.edu,usr968@gt.edu,2022-04-18,2022-05-06,accepted,proposer_emailusr554@gt.educounterparty_emailusr968@gt.eduproposer_item_no4107counterparty_item_no7180
4109,2244,usr555@gt.edu,usr302@gt.edu,2022-04-21,2022-04-26,accepted,proposer_emailusr555@gt.educounterparty_emailusr302@gt.eduproposer_item_no4109counterparty_item_no2244
4114,1528,usr555@gt.edu,usr204@gt.edu,2022-05-04,2022-05-19,accepted,proposer_emailusr555@gt.educounterparty_emailusr204@gt.eduproposer_item_no4114counterparty_item_no1528
4116,75,usr555@gt.edu,usr010@gt.edu,2022-05-13,2022-05-24,rejected,proposer_emailusr555@gt.educounterparty_emailusr010@gt.eduproposer_item_no4116counterparty_item_no75
4116,2256,usr555@gt.edu,usr304@gt.edu,2022-06-03,2022-06-08,rejected,proposer_emailusr555@gt.educounterparty_emailusr304@gt.eduproposer_item_no4116counterparty_item_no2256
4117,6359,usr555@gt.edu,usr855@gt.edu,2022-04-20,2022-04-22,accepted,proposer_emailusr555@gt.educounterparty_emailusr855@gt.eduproposer_item_no4117counterparty_item_no6359
4122,5439,usr557@gt.edu,usr734@gt.edu,2022-04-15,2022-05-17,rejected,proposer_emailusr557@gt.educounterparty_emailusr734@gt.eduproposer_item_no4122counterparty_item_no5439
4124,4173,usr557@gt.edu,usr564@gt.edu,2022-05-09,2022-05-24,accepted,proposer_emailusr557@gt.educounterparty_emailusr564@gt.eduproposer_item_no4124counterparty_item_no4173
