proposer_item_no,counterparty_item_no,proposer_email,counterparty_email,proposed_date,accept_reject_date,status,auto_trade_id,proposed_date1,accept_reject_date1
3027,4439,usr404@gt.edu,usr601@gt.edu,2022-04-25,NULL,unaccepted,proposer_emailusr404@gt.educounterparty_emailusr601@gt.eduproposer_item_no3027counterparty_item_no4439,2022-04-25,NULL
3033,7155,usr404@gt.edu,usr964@gt.edu,2022-04-27,2022-04-29,accepted,proposer_emailusr404@gt.educounterparty_emailusr964@gt.eduproposer_item_no3033counterparty_item_no7155,2022-04-27,2022-04-29
3037,93,usr405@gt.edu,usr013@gt.edu,2022-04-25,2022-05-16,accepted,proposer_emailusr405@gt.educounterparty_emailusr013@gt.eduproposer_item_no3037counterparty_item_no93,2022-04-25,2022-05-16
3041,4500,usr405@gt.edu,usr610@gt.edu,2022-04-26,2022-05-04,rejected,proposer_emailusr405@gt.educounterparty_emailusr610@gt.eduproposer_item_no3041counterparty_item_no4500,2022-04-26,2022-05-04
3041,7277,usr405@gt.edu,usr981@gt.edu,2022-06-09,2022-06-14,accepted,proposer_emailusr405@gt.educounterparty_emailusr981@gt.eduproposer_item_no3041counterparty_item_no7277,2022-06-09,2022-06-14
3042,1168,usr405@gt.edu,usr158@gt.edu,2022-05-26,2022-06-09,accepted,proposer_emailusr405@gt.educounterparty_emailusr158@gt.eduproposer_item_no3042counterparty_item_no1168,2022-05-26,2022-06-09
3043,1637,usr405@gt.edu,usr217@gt.edu,2022-05-16,2022-05-30,rejected,proposer_emailusr405@gt.educounterparty_emailusr217@gt.eduproposer_item_no3043counterparty_item_no1637,2022-05-16,2022-05-30
3046,5418,usr405@gt.edu,usr732@gt.edu,2022-06-06,2022-06-14,accepted,proposer_emailusr405@gt.educounterparty_emailusr732@gt.eduproposer_item_no3046counterparty_item_no5418,2022-06-06,2022-06-14
3049,7238,usr406@gt.edu,usr977@gt.edu,2022-04-25,2022-05-02,accepted,proposer_emailusr406@gt.educounterparty_emailusr977@gt.eduproposer_item_no3049counterparty_item_no7238,2022-04-25,2022-05-02
3050,5841,usr406@gt.edu,usr784@gt.edu,2022-04-19,2022-04-29,rejected,proposer_emailusr406@gt.educounterparty_emailusr784@gt.eduproposer_item_no3050counterparty_item_no5841,2022-04-19,2022-04-29
3050,7378,usr406@gt.edu,usr994@gt.edu,2022-06-07,NULL,unaccepted,proposer_emailusr406@gt.educounterparty_emailusr994@gt.eduproposer_item_no3050counterparty_item_no7378,2022-06-07,NULL
3051,5678,usr406@gt.edu,usr763@gt.edu,2022-04-28,2022-05-16,rejected,proposer_emailusr406@gt.educounterparty_emailusr763@gt.eduproposer_item_no3051counterparty_item_no5678,2022-04-28,2022-05-16
3053,7194,usr407@gt.edu,usr971@gt.edu,2022-05-03,2022-06-09,accepted,proposer_emailusr407@gt.educounterparty_emailusr971@gt.eduproposer_item_no3053counterparty_item_no7194,2022-05-03,2022-06-09
3054,497,usr407@gt.edu,usr067@gt.edu,2022-04-19,NULL,unaccepted,proposer_emailusr407@gt.educounterparty_emailusr067@gt.eduproposer_item_no3054counterparty_item_no497,2022-04-19,NULL
3059,3206,usr407@gt.edu,usr430@gt.edu,2022-05-02,2022-06-09,accepted,proposer_emailusr407@gt.educounterparty_emailusr430@gt.eduproposer_item_no3059counterparty_item_no3206,2022-05-02,2022-06-09
3062,4047,usr408@gt.edu,usr547@gt.edu,2022-05-31,2022-06-07,rejected,proposer_emailusr408@gt.educounterparty_emailusr547@gt.eduproposer_item_no3062counterparty_item_no4047,2022-05-31,2022-06-07
3063,5807,usr408@gt.edu,usr780@gt.edu,2022-06-01,NULL,unaccepted,proposer_emailusr408@gt.educounterparty_emailusr780@gt.eduproposer_item_no3063counterparty_item_no5807,2022-06-01,NULL
3064,2775,usr408@gt.edu,usr373@gt.edu,2022-04-22,2022-05-04,accepted,proposer_emailusr408@gt.educounterparty_emailusr373@gt.eduproposer_item_no3064counterparty_item_no2775,2022-04-22,2022-05-04
3064,5295,usr408@gt.edu,usr715@gt.edu,2022-04-18,2022-04-22,rejected,proposer_emailusr408@gt.educounterparty_emailusr715@gt.eduproposer_item_no3064counterparty_item_no5295,2022-04-18,2022-04-22
3065,6873,usr409@gt.edu,usr928@gt.edu,2022-04-22,2022-05-10,accepted,proposer_emailusr409@gt.educounterparty_emailusr928@gt.eduproposer_item_no3065counterparty_item_no6873,2022-04-22,2022-05-10
3066,5128,usr409@gt.edu,usr691@gt.edu,2022-04-15,2022-05-11,accepted,proposer_emailusr409@gt.educounterparty_emailusr691@gt.eduproposer_item_no3066counterparty_item_no5128,2022-04-15,2022-05-11
3068,1604,usr409@gt.edu,usr213@gt.edu,2022-04-25,2022-05-10,accepted,proposer_emailusr409@gt.educounterparty_emailusr213@gt.eduproposer_item_no3068counterparty_item_no1604,2022-04-25,2022-05-10
3073,159,usr410@gt.edu,usr024@gt.edu,2022-05-13,2022-05-19,accepted,proposer_emailusr410@gt.educounterparty_emailusr024@gt.eduproposer_item_no3073counterparty_item_no159,2022-05-13,2022-05-19
3074,1700,usr410@gt.edu,usr226@gt.edu,2022-05-10,NULL,unaccepted,proposer_emailusr410@gt.educounterparty_emailusr226@gt.eduproposer_item_no3074counterparty_item_no1700,2022-05-10,NULL
3080,1834,usr411@gt.edu,usr245@gt.edu,2022-04-25,2022-05-09,accepted,proposer_emailusr411@gt.educounterparty_emailusr245@gt.eduproposer_item_no3080counterparty_item_no1834,2022-04-25,2022-05-09
3081,4334,usr411@gt.edu,usr586@gt.edu,2022-05-04,2022-05-09,accepted,proposer_emailusr411@gt.educounterparty_emailusr586@gt.eduproposer_item_no3081counterparty_item_no4334,2022-05-04,2022-05-09
3082,5934,usr411@gt.edu,usr797@gt.edu,2022-04-19,2022-04-20,accepted,proposer_emailusr411@gt.educounterparty_emailusr797@gt.eduproposer_item_no3082counterparty_item_no5934,2022-04-19,2022-04-20
3083,1182,usr411@gt.edu,usr159@gt.edu,2022-04-15,2022-05-09,accepted,proposer_emailusr411@gt.educounterparty_emailusr159@gt.eduproposer_item_no3083counterparty_item_no1182,2022-04-15,2022-05-09
3085,751,usr411@gt.edu,usr098@gt.edu,2022-04-29,2022-06-02,accepted,proposer_emailusr411@gt.educounterparty_emailusr098@gt.eduproposer_item_no3085counterparty_item_no751,2022-04-29,2022-06-02
3086,3149,usr411@gt.edu,usr420@gt.edu,2022-04-28,NULL,unaccepted,proposer_emailusr411@gt.educounterparty_emailusr420@gt.eduproposer_item_no3086counterparty_item_no3149,2022-04-28,NULL
3088,243,usr412@gt.edu,usr036@gt.edu,2022-04-19,2022-05-05,accepted,proposer_emailusr412@gt.educounterparty_emailusr036@gt.eduproposer_item_no3088counterparty_item_no243,2022-04-19,2022-05-05
3092,5649,usr412@gt.edu,usr759@gt.edu,2022-04-25,2022-04-28,accepted,proposer_emailusr412@gt.educounterparty_emailusr759@gt.eduproposer_item_no3092counterparty_item_no5649,2022-04-25,2022-04-28
3093,439,usr412@gt.edu,usr060@gt.edu,2022-04-22,NULL,unaccepted,proposer_emailusr412@gt.educounterparty_emailusr060@gt.eduproposer_item_no3093counterparty_item_no439,2022-04-22,NULL
3094,4817,usr412@gt.edu,usr651@gt.edu,2022-05-27,2022-06-02,accepted,proposer_emailusr412@gt.educounterparty_emailusr651@gt.eduproposer_item_no3094counterparty_item_no4817,2022-05-27,2022-06-02
3095,5150,usr412@gt.edu,usr694@gt.edu,2022-04-15,2022-04-18,rejected,proposer_emailusr412@gt.educounterparty_emailusr694@gt.eduproposer_item_no3095counterparty_item_no5150,2022-04-15,2022-04-18
3096,358,usr413@gt.edu,usr050@gt.edu,2022-04-20,2022-05-05,rejected,proposer_emailusr413@gt.educounterparty_emailusr050@gt.eduproposer_item_no3096counterparty_item_no358,2022-04-20,2022-05-05
3097,4553,usr413@gt.edu,usr616@gt.edu,2022-06-13,NULL,unaccepted,proposer_emailusr413@gt.educounterparty_emailusr616@gt.eduproposer_item_no3097counterparty_item_no4553,2022-06-13,NULL
3098,1737,usr413@gt.edu,usr231@gt.edu,2022-04-21,2022-05-04,accepted,proposer_emailusr413@gt.educounterparty_emailusr231@gt.eduproposer_item_no3098counterparty_item_no1737,2022-04-21,2022-05-04
3099,4230,usr413@gt.edu,usr572@gt.edu,2022-04-28,2022-04-29,accepted,proposer_emailusr413@gt.educounterparty_emailusr572@gt.eduproposer_item_no3099counterparty_item_no4230,2022-04-28,2022-04-29
3104,2279,usr413@gt.edu,usr308@gt.edu,2022-04-19,2022-04-28,accepted,proposer_emailusr413@gt.educounterparty_emailusr308@gt.eduproposer_item_no3104counterparty_item_no2279,2022-04-19,2022-04-28
3108,4599,usr414@gt.edu,usr623@gt.edu,2022-04-28,2022-06-02,accepted,proposer_emailusr414@gt.educounterparty_emailusr623@gt.eduproposer_item_no3108counterparty_item_no4599,2022-04-28,2022-06-02
3113,4287,usr414@gt.edu,usr579@gt.edu,2022-04-26,NULL,unaccepted,proposer_emailusr414@gt.educounterparty_emailusr579@gt.eduproposer_item_no3113counterparty_item_no4287,2022-04-26,NULL
3116,2911,usr415@gt.edu,usr390@gt.edu,2022-04-15,2022-06-14,accepted,proposer_emailusr415@gt.educounterparty_emailusr390@gt.eduproposer_item_no3116counterparty_item_no2911,2022-04-15,2022-06-14
3119,326,usr415@gt.edu,usr047@gt.edu,2022-05-16,NULL,unaccepted,proposer_emailusr415@gt.educounterparty_emailusr047@gt.eduproposer_item_no3119counterparty_item_no326,2022-05-16,NULL
3119,5060,usr415@gt.edu,usr682@gt.edu,2022-04-18,2022-05-05,rejected,proposer_emailusr415@gt.educounterparty_emailusr682@gt.eduproposer_item_no3119counterparty_item_no5060,2022-04-18,2022-05-05
3122,1683,usr416@gt.edu,usr222@gt.edu,2022-04-15,2022-06-06,accepted,proposer_emailusr416@gt.educounterparty_emailusr222@gt.eduproposer_item_no3122counterparty_item_no1683,2022-04-15,2022-06-06
3127,76,usr417@gt.edu,usr010@gt.edu,2022-05-18,2022-06-09,accepted,proposer_emailusr417@gt.educounterparty_emailusr010@gt.eduproposer_item_no3127counterparty_item_no76,2022-05-18,2022-06-09
3130,6663,usr417@gt.edu,usr899@gt.edu,2022-05-02,NULL,unaccepted,proposer_emailusr417@gt.educounterparty_emailusr899@gt.eduproposer_item_no3130counterparty_item_no6663,2022-05-02,NULL
3131,2790,usr417@gt.edu,usr375@gt.edu,2022-04-26,2022-05-13,accepted,proposer_emailusr417@gt.educounterparty_emailusr375@gt.eduproposer_item_no3131counterparty_item_no2790,2022-04-26,2022-05-13
3132,1895,usr418@gt.edu,usr253@gt.edu,2022-05-16,NULL,unaccepted,proposer_emailusr418@gt.educounterparty_emailusr253@gt.eduproposer_item_no3132counterparty_item_no1895,2022-05-16,NULL
3135,2781,usr418@gt.edu,usr374@gt.edu,2022-04-15,2022-04-29,rejected,proposer_emailusr418@gt.educounterparty_emailusr374@gt.eduproposer_item_no3135counterparty_item_no2781,2022-04-15,2022-04-29
3141,4532,usr419@gt.edu,usr613@gt.edu,2022-05-31,2022-06-07,accepted,proposer_emailusr419@gt.educounterparty_emailusr613@gt.eduproposer_item_no3141counterparty_item_no4532,2022-05-31,2022-06-07
3141,7022,usr419@gt.edu,usr947@gt.edu,2022-05-06,2022-05-13,rejected,proposer_emailusr419@gt.educounterparty_emailusr947@gt.eduproposer_item_no3141counterparty_item_no7022,2022-05-06,2022-05-13
3143,6414,usr419@gt.edu,usr864@gt.edu,2022-04-27,2022-04-28,rejected,proposer_emailusr419@gt.educounterparty_emailusr864@gt.eduproposer_item_no3143counterparty_item_no6414,2022-04-27,2022-04-28
3146,2375,usr420@gt.edu,usr320@gt.edu,2022-04-26,2022-05-05,accepted,proposer_emailusr420@gt.educounterparty_emailusr320@gt.eduproposer_item_no3146counterparty_item_no2375,2022-04-26,2022-05-05
3147,668,usr420@gt.edu,usr089@gt.edu,2022-04-27,2022-05-27,rejected,proposer_emailusr420@gt.educounterparty_emailusr089@gt.eduproposer_item_no3147counterparty_item_no668,2022-04-27,2022-05-27
3147,1170,usr420@gt.edu,usr158@gt.edu,2022-05-31,2022-06-09,rejected,proposer_emailusr420@gt.educounterparty_emailusr158@gt.eduproposer_item_no3147counterparty_item_no1170,2022-05-31,2022-06-09
3150,2371,usr420@gt.edu,usr319@gt.edu,2022-04-22,2022-06-10,rejected,proposer_emailusr420@gt.educounterparty_emailusr319@gt.eduproposer_item_no3150counterparty_item_no2371,2022-04-22,2022-06-10
3151,4957,usr421@gt.edu,usr668@gt.edu,2022-04-27,2022-06-02,rejected,proposer_emailusr421@gt.educounterparty_emailusr668@gt.eduproposer_item_no3151counterparty_item_no4957,2022-04-27,2022-06-02
3153,6424,usr421@gt.edu,usr866@gt.edu,2022-04-19,2022-05-03,accepted,proposer_emailusr421@gt.educounterparty_emailusr866@gt.eduproposer_item_no3153counterparty_item_no6424,2022-04-19,2022-05-03
3162,4262,usr422@gt.edu,usr576@gt.edu,2022-05-10,2022-05-12,rejected,proposer_emailusr422@gt.educounterparty_emailusr576@gt.eduproposer_item_no3162counterparty_item_no4262,2022-05-10,2022-05-12
3164,194,usr422@gt.edu,usr029@gt.edu,2022-06-08,NULL,unaccepted,proposer_emailusr422@gt.educounterparty_emailusr029@gt.eduproposer_item_no3164counterparty_item_no194,2022-06-08,NULL
3167,48,usr423@gt.edu,usr008@gt.edu,2022-04-26,2022-05-18,accepted,proposer_emailusr423@gt.educounterparty_emailusr008@gt.eduproposer_item_no3167counterparty_item_no48,2022-04-26,2022-05-18
3167,2552,usr423@gt.edu,usr344@gt.edu,2022-04-15,2022-04-20,rejected,proposer_emailusr423@gt.educounterparty_emailusr344@gt.eduproposer_item_no3167counterparty_item_no2552,2022-04-15,2022-04-20
3169,6373,usr423@gt.edu,usr858@gt.edu,2022-06-06,NULL,unaccepted,proposer_emailusr423@gt.educounterparty_emailusr858@gt.eduproposer_item_no3169counterparty_item_no6373,2022-06-06,NULL
3170,2051,usr424@gt.edu,usr274@gt.edu,2022-04-20,NULL,unaccepted,proposer_emailusr424@gt.educounterparty_emailusr274@gt.eduproposer_item_no3170counterparty_item_no2051,2022-04-20,NULL
3171,1572,usr424@gt.edu,usr210@gt.edu,2022-04-21,2022-04-22,accepted,proposer_emailusr424@gt.educounterparty_emailusr210@gt.eduproposer_item_no3171counterparty_item_no1572,2022-04-21,2022-04-22
3174,6169,usr425@gt.edu,usr828@gt.edu,2022-04-19,NULL,unaccepted,proposer_emailusr425@gt.educounterparty_emailusr828@gt.eduproposer_item_no3174counterparty_item_no6169,2022-04-19,NULL
3176,1422,usr425@gt.edu,usr191@gt.edu,2022-04-15,2022-05-09,rejected,proposer_emailusr425@gt.educounterparty_emailusr191@gt.eduproposer_item_no3176counterparty_item_no1422,2022-04-15,2022-05-09
3180,3909,usr426@gt.edu,usr527@gt.edu,2022-05-16,2022-05-18,accepted,proposer_emailusr426@gt.educounterparty_emailusr527@gt.eduproposer_item_no3180counterparty_item_no3909,2022-05-16,2022-05-18
3181,202,usr427@gt.edu,usr030@gt.edu,2022-04-20,2022-05-06,accepted,proposer_emailusr427@gt.educounterparty_emailusr030@gt.eduproposer_item_no3181counterparty_item_no202,2022-04-20,2022-05-06
3183,6592,usr427@gt.edu,usr889@gt.edu,2022-05-26,NULL,unaccepted,proposer_emailusr427@gt.educounterparty_emailusr889@gt.eduproposer_item_no3183counterparty_item_no6592,2022-05-26,NULL
3185,5473,usr427@gt.edu,usr738@gt.edu,2022-04-22,2022-04-27,accepted,proposer_emailusr427@gt.educounterparty_emailusr738@gt.eduproposer_item_no3185counterparty_item_no5473,2022-04-22,2022-04-27
3187,4424,usr427@gt.edu,usr599@gt.edu,2022-04-27,2022-05-04,accepted,proposer_emailusr427@gt.educounterparty_emailusr599@gt.eduproposer_item_no3187counterparty_item_no4424,2022-04-27,2022-05-04
3188,6109,usr428@gt.edu,usr821@gt.edu,2022-05-18,2022-05-25,rejected,proposer_emailusr428@gt.educounterparty_emailusr821@gt.eduproposer_item_no3188counterparty_item_no6109,2022-05-18,2022-05-25
3189,7299,usr428@gt.edu,usr984@gt.edu,2022-05-27,2022-06-03,rejected,proposer_emailusr428@gt.educounterparty_emailusr984@gt.eduproposer_item_no3189counterparty_item_no7299,2022-05-27,2022-06-03
3190,4849,usr428@gt.edu,usr654@gt.edu,2022-04-15,2022-04-22,rejected,proposer_emailusr428@gt.educounterparty_emailusr654@gt.eduproposer_item_no3190counterparty_item_no4849,2022-04-15,2022-04-22
3191,975,usr428@gt.edu,usr131@gt.edu,2022-04-18,2022-04-28,accepted,proposer_emailusr428@gt.educounterparty_emailusr131@gt.eduproposer_item_no3191counterparty_item_no975,2022-04-18,2022-04-28
3192,6118,usr428@gt.edu,usr822@gt.edu,2022-05-30,NULL,unaccepted,proposer_emailusr428@gt.educounterparty_emailusr822@gt.eduproposer_item_no3192counterparty_item_no6118,2022-05-30,NULL
3193,7268,usr428@gt.edu,usr980@gt.edu,2022-05-16,NULL,unaccepted,proposer_emailusr428@gt.educounterparty_emailusr980@gt.eduproposer_item_no3193counterparty_item_no7268,2022-05-16,NULL
3195,2401,usr429@gt.edu,usr324@gt.edu,2022-04-15,2022-04-20,accepted,proposer_emailusr429@gt.educounterparty_emailusr324@gt.eduproposer_item_no3195counterparty_item_no2401,2022-04-15,2022-04-20
3198,3282,usr429@gt.edu,usr443@gt.edu,2022-04-22,2022-04-26,accepted,proposer_emailusr429@gt.educounterparty_emailusr443@gt.eduproposer_item_no3198counterparty_item_no3282,2022-04-22,2022-04-26
3200,6083,usr429@gt.edu,usr817@gt.edu,2022-04-19,2022-04-20,rejected,proposer_emailusr429@gt.educounterparty_emailusr817@gt.eduproposer_item_no3200counterparty_item_no6083,2022-04-19,2022-04-20
3201,6937,usr429@gt.edu,usr936@gt.edu,2022-05-06,2022-05-12,accepted,proposer_emailusr429@gt.educounterparty_emailusr936@gt.eduproposer_item_no3201counterparty_item_no6937,2022-05-06,2022-05-12
3202,6022,usr429@gt.edu,usr808@gt.edu,2022-05-16,2022-06-13,accepted,proposer_emailusr429@gt.educounterparty_emailusr808@gt.eduproposer_item_no3202counterparty_item_no6022,2022-05-16,2022-06-13
3205,1093,usr430@gt.edu,usr147@gt.edu,2022-06-08,NULL,unaccepted,proposer_emailusr430@gt.educounterparty_emailusr147@gt.eduproposer_item_no3205counterparty_item_no1093,2022-06-08,NULL
3205,6843,usr430@gt.edu,usr925@gt.edu,2022-04-15,2022-04-26,rejected,proposer_emailusr430@gt.educounterparty_emailusr925@gt.eduproposer_item_no3205counterparty_item_no6843,2022-04-15,2022-04-26
3208,4851,usr430@gt.edu,usr655@gt.edu,2022-04-18,2022-06-02,rejected,proposer_emailusr430@gt.educounterparty_emailusr655@gt.eduproposer_item_no3208counterparty_item_no4851,2022-04-18,2022-06-02
3210,6828,usr430@gt.edu,usr923@gt.edu,2022-05-25,2022-06-07,rejected,proposer_emailusr430@gt.educounterparty_emailusr923@gt.eduproposer_item_no3210counterparty_item_no6828,2022-05-25,2022-06-07
3211,5066,usr430@gt.edu,usr682@gt.edu,2022-04-29,NULL,unaccepted,proposer_emailusr430@gt.educounterparty_emailusr682@gt.eduproposer_item_no3211counterparty_item_no5066,2022-04-29,NULL
3212,2777,usr431@gt.edu,usr373@gt.edu,2022-06-01,NULL,unaccepted,proposer_emailusr431@gt.educounterparty_emailusr373@gt.eduproposer_item_no3212counterparty_item_no2777,2022-06-01,NULL
3214,5842,usr431@gt.edu,usr784@gt.edu,2022-04-25,2022-05-03,rejected,proposer_emailusr431@gt.educounterparty_emailusr784@gt.eduproposer_item_no3214counterparty_item_no5842,2022-04-25,2022-05-03
3215,5598,usr431@gt.edu,usr753@gt.edu,2022-04-19,NULL,unaccepted,proposer_emailusr431@gt.educounterparty_emailusr753@gt.eduproposer_item_no3215counterparty_item_no5598,2022-04-19,NULL
3216,5795,usr431@gt.edu,usr779@gt.edu,2022-04-26,2022-04-28,rejected,proposer_emailusr431@gt.educounterparty_emailusr779@gt.eduproposer_item_no3216counterparty_item_no5795,2022-04-26,2022-04-28
3219,1553,usr432@gt.edu,usr207@gt.edu,2022-04-19,2022-05-05,accepted,proposer_emailusr432@gt.educounterparty_emailusr207@gt.eduproposer_item_no3219counterparty_item_no1553,2022-04-19,2022-05-05
3220,3917,usr432@gt.edu,usr528@gt.edu,2022-04-21,2022-05-10,accepted,proposer_emailusr432@gt.educounterparty_emailusr528@gt.eduproposer_item_no3220counterparty_item_no3917,2022-04-21,2022-05-10
3223,682,usr433@gt.edu,usr091@gt.edu,2022-04-27,2022-05-04,accepted,proposer_emailusr433@gt.educounterparty_emailusr091@gt.eduproposer_item_no3223counterparty_item_no682,2022-04-27,2022-05-04
3225,4001,usr433@gt.edu,usr540@gt.edu,2022-04-18,2022-04-29,accepted,proposer_emailusr433@gt.educounterparty_emailusr540@gt.eduproposer_item_no3225counterparty_item_no4001,2022-04-18,2022-04-29
3228,4298,usr434@gt.edu,usr581@gt.edu,2022-05-27,2022-06-09,accepted,proposer_emailusr434@gt.educounterparty_emailusr581@gt.eduproposer_item_no3228counterparty_item_no4298,2022-05-27,2022-06-09
3228,4636,usr434@gt.edu,usr628@gt.edu,2022-04-20,2022-05-11,rejected,proposer_emailusr434@gt.educounterparty_emailusr628@gt.eduproposer_item_no3228counterparty_item_no4636,2022-04-20,2022-05-11
3231,6165,usr434@gt.edu,usr828@gt.edu,2022-05-26,NULL,unaccepted,proposer_emailusr434@gt.educounterparty_emailusr828@gt.eduproposer_item_no3231counterparty_item_no6165,2022-05-26,NULL
3234,1912,usr435@gt.edu,usr256@gt.edu,2022-04-15,2022-04-18,accepted,proposer_emailusr435@gt.educounterparty_emailusr256@gt.eduproposer_item_no3234counterparty_item_no1912,2022-04-15,2022-04-18
3235,7188,usr435@gt.edu,usr969@gt.edu,2022-04-21,2022-04-29,accepted,proposer_emailusr435@gt.educounterparty_emailusr969@gt.eduproposer_item_no3235counterparty_item_no7188,2022-04-21,2022-04-29
3236,4418,usr436@gt.edu,usr599@gt.edu,2022-04-27,2022-05-27,accepted,proposer_emailusr436@gt.educounterparty_emailusr599@gt.eduproposer_item_no3236counterparty_item_no4418,2022-04-27,2022-05-27
3237,2202,usr436@gt.edu,usr297@gt.edu,2022-04-18,2022-05-31,accepted,proposer_emailusr436@gt.educounterparty_emailusr297@gt.eduproposer_item_no3237counterparty_item_no2202,2022-04-18,2022-05-31
3239,7243,usr436@gt.edu,usr977@gt.edu,2022-04-28,2022-05-04,accepted,proposer_emailusr436@gt.educounterparty_emailusr977@gt.eduproposer_item_no3239counterparty_item_no7243,2022-04-28,2022-05-04
3242,1793,usr436@gt.edu,usr239@gt.edu,2022-04-15,2022-04-29,rejected,proposer_emailusr436@gt.educounterparty_emailusr239@gt.eduproposer_item_no3242counterparty_item_no1793,2022-04-15,2022-04-29
3243,1190,usr437@gt.edu,usr160@gt.edu,2022-04-19,2022-05-30,accepted,proposer_emailusr437@gt.educounterparty_emailusr160@gt.eduproposer_item_no3243counterparty_item_no1190,2022-04-19,2022-05-30
3244,512,usr437@gt.edu,usr069@gt.edu,2022-04-26,2022-04-27,rejected,proposer_emailusr437@gt.educounterparty_emailusr069@gt.eduproposer_item_no3244counterparty_item_no512,2022-04-26,2022-04-27
3244,3751,usr437@gt.edu,usr508@gt.edu,2022-05-19,2022-06-01,accepted,proposer_emailusr437@gt.educounterparty_emailusr508@gt.eduproposer_item_no3244counterparty_item_no3751,2022-05-19,2022-06-01
3245,4485,usr437@gt.edu,usr608@gt.edu,2022-06-06,NULL,unaccepted,proposer_emailusr437@gt.educounterparty_emailusr608@gt.eduproposer_item_no3245counterparty_item_no4485,2022-06-06,NULL
3245,6314,usr437@gt.edu,usr850@gt.edu,2022-04-28,2022-05-26,rejected,proposer_emailusr437@gt.educounterparty_emailusr850@gt.eduproposer_item_no3245counterparty_item_no6314,2022-04-28,2022-05-26
3246,1131,usr437@gt.edu,usr152@gt.edu,2022-04-15,2022-05-02,accepted,proposer_emailusr437@gt.educounterparty_emailusr152@gt.eduproposer_item_no3246counterparty_item_no1131,2022-04-15,2022-05-02
3248,5818,usr438@gt.edu,usr781@gt.edu,2022-05-05,2022-05-13,accepted,proposer_emailusr438@gt.educounterparty_emailusr781@gt.eduproposer_item_no3248counterparty_item_no5818,2022-05-05,2022-05-13
3251,6230,usr438@gt.edu,usr836@gt.edu,2022-04-19,2022-04-21,rejected,proposer_emailusr438@gt.educounterparty_emailusr836@gt.eduproposer_item_no3251counterparty_item_no6230,2022-04-19,2022-04-21
3254,502,usr438@gt.edu,usr068@gt.edu,2022-05-12,2022-05-18,accepted,proposer_emailusr438@gt.educounterparty_emailusr068@gt.eduproposer_item_no3254counterparty_item_no502,2022-05-12,2022-05-18
3256,6249,usr438@gt.edu,usr840@gt.edu,2022-05-19,NULL,unaccepted,proposer_emailusr438@gt.educounterparty_emailusr840@gt.eduproposer_item_no3256counterparty_item_no6249,2022-05-19,NULL
3258,5410,usr438@gt.edu,usr730@gt.edu,2022-04-26,NULL,unaccepted,proposer_emailusr438@gt.educounterparty_emailusr730@gt.eduproposer_item_no3258counterparty_item_no5410,2022-04-26,NULL
3261,2258,usr439@gt.edu,usr304@gt.edu,2022-06-09,NULL,unaccepted,proposer_emailusr439@gt.educounterparty_emailusr304@gt.eduproposer_item_no3261counterparty_item_no2258,2022-06-09,NULL
3266,1685,usr440@gt.edu,usr223@gt.edu,2022-04-15,2022-06-08,accepted,proposer_emailusr440@gt.educounterparty_emailusr223@gt.eduproposer_item_no3266counterparty_item_no1685,2022-04-15,2022-06-08
3268,558,usr440@gt.edu,usr078@gt.edu,2022-05-02,NULL,unaccepted,proposer_emailusr440@gt.educounterparty_emailusr078@gt.eduproposer_item_no3268counterparty_item_no558,2022-05-02,NULL
3269,3519,usr440@gt.edu,usr477@gt.edu,2022-04-20,2022-05-13,accepted,proposer_emailusr440@gt.educounterparty_emailusr477@gt.eduproposer_item_no3269counterparty_item_no3519,2022-04-20,2022-05-13
3270,6156,usr441@gt.edu,usr827@gt.edu,2022-04-22,2022-06-10,accepted,proposer_emailusr441@gt.educounterparty_emailusr827@gt.eduproposer_item_no3270counterparty_item_no6156,2022-04-22,2022-06-10
3271,5041,usr441@gt.edu,usr680@gt.edu,2022-05-17,NULL,unaccepted,proposer_emailusr441@gt.educounterparty_emailusr680@gt.eduproposer_item_no3271counterparty_item_no5041,2022-05-17,NULL
3271,6879,usr441@gt.edu,usr929@gt.edu,2022-04-18,2022-05-04,rejected,proposer_emailusr441@gt.educounterparty_emailusr929@gt.eduproposer_item_no3271counterparty_item_no6879,2022-04-18,2022-05-04
3272,2579,usr441@gt.edu,usr349@gt.edu,2022-04-28,NULL,unaccepted,proposer_emailusr441@gt.educounterparty_emailusr349@gt.eduproposer_item_no3272counterparty_item_no2579,2022-04-28,NULL
3274,1487,usr442@gt.edu,usr199@gt.edu,2022-05-03,NULL,unaccepted,proposer_emailusr442@gt.educounterparty_emailusr199@gt.eduproposer_item_no3274counterparty_item_no1487,2022-05-03,NULL
3275,5812,usr442@gt.edu,usr780@gt.edu,2022-04-20,2022-04-27,rejected,proposer_emailusr442@gt.educounterparty_emailusr780@gt.eduproposer_item_no3275counterparty_item_no5812,2022-04-20,2022-04-27
3276,2059,usr442@gt.edu,usr275@gt.edu,2022-04-21,2022-05-13,rejected,proposer_emailusr442@gt.educounterparty_emailusr275@gt.eduproposer_item_no3276counterparty_item_no2059,2022-04-21,2022-05-13
3279,3778,usr442@gt.edu,usr512@gt.edu,2022-04-27,2022-05-10,accepted,proposer_emailusr442@gt.educounterparty_emailusr512@gt.eduproposer_item_no3279counterparty_item_no3778,2022-04-27,2022-05-10
